id,set,set_id,type,title,level,question_text,definition,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,example3,example4,usage1,tip,image_url,description,audio_url,prompt,transcript,front_fields
,Prepositions - TIME & PLACE,,usage_cases,AT — Specific Times,A2,,Use AT for precise clock times and specific moments,,,,,,,,The meeting starts at 3 PM.,I wake up at 7:00 every morning.,She left at midnight.,,When the answer is an exact hour or a specific point in time,Think of AT as pointing to a dot on a timeline — one exact moment,,,,,,
,Prepositions - TIME & PLACE,,usage_cases,"AT — Holidays & Festivals (without ""day"")",A2,,"Use AT for holidays when you don't say the word ""Day""",,,,,,,,We exchange gifts at Christmas.,I'll see you at Easter.,They always travel at New Year.,,For celebrations and festival periods,"But say ON Christmas Day, ON Easter Sunday",,,,,,
,Prepositions - TIME & PLACE,,usage_cases,AT — Night,A2,,"Use AT with ""night"" (exception to morning/afternoon/evening)",,,,,,,,I can't sleep at night.,Owls hunt at night.,The store closes at night.,,Referring to nighttime hours,"We say IN the morning/afternoon/evening, but always AT night",,,,,,
,Prepositions - TIME & PLACE,,usage_cases,AT — Weekend (British vs American),A2,,British English uses AT the weekend; American uses ON the weekend,,,,,,,,What are you doing at the weekend? (UK),I'll call you at the weekend. (UK),,,Talking about Saturday and Sunday,"Americans say ""ON the weekend"" — both are correct for your dialect",,,,,,
,Prepositions - TIME & PLACE,,usage_cases,IN — Months & Years,A2,,"Use IN for months, years, decades, centuries",,,,,,,,My birthday is in May.,She was born in 1995.,The war ended in the 20th century.,,When the time unit is larger than a day,IN = inside a larger time container,,,,,,
,Prepositions - TIME & PLACE,,usage_cases,IN — Seasons,A2,,"Use IN with seasons (spring, summer, autumn/fall, winter)",,,,,,,,Leaves change color in autumn.,We go to the beach in summer.,Flowers bloom in spring.,,Describing when something happens during a season,"Exception: ""ON a spring morning"" when you add a specific day part",,,,,,
,Prepositions - TIME & PLACE,,usage_cases,IN — Parts of the Day (morning/afternoon/evening),A2,,"Use IN with morning, afternoon, and evening",,,,,,,,I drink coffee in the morning.,We work in the afternoon.,She studies in the evening.,,General times during the day (but not night),"Exception: AT night, and ON Monday morning (when adding a day)",,,,,,
,Prepositions - TIME & PLACE,,usage_cases,IN — Duration (time to complete something),A2,,"Use IN to mean ""after this amount of time"" or ""within this period""",,,,,,,,I can run 5 km in 20 minutes.,She finished the test in one hour.,The pizza will be ready in 10 minutes.,,Talking about how long something takes,"For future: ""I'll be there IN 5 minutes"" = 5 minutes from now",,,,,,
,Prepositions - TIME & PLACE,,usage_cases,ON — Days & Dates,A2,,Use ON for specific days and calendar dates,,,,,,,,Let's meet on Friday.,She was born on March 15th.,I have a doctor's appointment on Wednesday.,,"Any named day (Monday, etc.) or date (May 5th)",ON = sitting on top of that specific day on the calendar,,,,,,
,Prepositions - TIME & PLACE,,usage_cases,"ON — Special Named Days (with ""Day"")",A2,,"Use ON for holidays that include the word ""Day""",,,,,,,,We open presents on Christmas Day.,Restaurants are busy on Mother's Day.,I'll call you on New Year's Day.,,"Christmas Day, New Year's Day, Mother's Day, etc.",Compare: AT Christmas (season) vs ON Christmas Day (specific day),,,,,,
