id,set,set_id,type,title,level,question_text,definition,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,example3,example4,usage1,tip
,Verbs - Present & Past Tenses,34,deep_dive,ACCOMMODATE /akómodeit/ ACOMODAR,Advanced,,"To provide space or adjust to needs \br regular \br accommodate; accommodated; accommodated \br /akómodeit/; /akómodeitid/; /akómodeitid/",,,,,,,,This room can accommodate ten people. \br She accommodated her schedule to fit mine. \br The hotel has accommodated all requests.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,AMPLIFY /ámplifai/ AMPLIFICAR,Advanced,,"To increase volume or intensity \br regular \br amplify; amplified; amplified \br /ámplifai/; /ámplifaid/; /ámplifaid/",,,,,,,,Speakers amplify sound. \br His fear amplified the danger. \br The signal has been amplified.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,ASSUAGE /aswêidj/ ALIVIAR,Advanced,,"To make an unpleasant feeling less intense \br regular \br assuage; assuaged; assuaged \br /aswêidj/; /aswêidjd/; /aswêidjd/",,,,,,,,Ginger tea assuages nausea. \br He tried to assuage her guilt. \br The apology has assuaged my anger.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,CIRCUMVENT /sêrkumvent/ CONTORNAR,Advanced,,"To find a way around an obstacle or rule \br regular \br circumvent; circumvented; circumvented \br /sêrkumvent/; /sêrkumventid/; /sêrkumventid/",,,,,,,,We circumvented the traffic by taking back roads. \br He circumvented the security system. \br The law has been circumvented before.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,COLLABORATE /koláborêit/ COLABORAR,Advanced,,"To work together on a project \br regular \br collaborate; collaborated; collaborated \br /koláborêit/; /koláborêitid/; /koláborêitid/",,,,,,,,I collaborate with designers. \br They collaborated on the album. \br Scientists have collaborated across borders.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,CONCUR /konkêr/ CONCORDAR,Advanced,,"To agree with an opinion \br regular \br concur; concurred; concurred \br /konkêr/; /konkêrd/; /konkêrd/",,,,,,,,I concur with your assessment. \br The judges concurred on the winner. \br She has concurred with the decision.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,CONTRADICT /kántradíct/ CONTRADIZER,Advanced,,"To deny or oppose what someone said \br regular \br contradict; contradicted; contradicted \br /kántradíct/; /kántradíctid/; /kántradíctid/",,,,,,,,Don't contradict your boss. \br His actions contradicted his words. \br The evidence has contradicted the theory.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,DELEGATE /délegêit/ DELEGAR,Advanced,,"To assign tasks to others \br regular \br delegate; delegated; delegated \br /délegêit/; /délegêitid/; /délegêitid/",,,,,,,,A good leader delegates responsibilities. \br She delegated the report to her assistant. \br He has delegated authority before.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,DISSEMINATE /diséminêit/ DISSEMINAR,Advanced,,"To spread information widely \br regular \br disseminate; disseminated; disseminated \br /diséminêit/; /diséminêitid/; /diséminêitid/",,,,,,,,The internet disseminates news quickly. \br They disseminated pamphlets. \br False information has been disseminated.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,EMANATE /émanêit/ EMANAR,Advanced,,"To come out from a source \br regular \br emanate; emanated; emanated \br /émanêit/; /émanêitid/; /émanêitid/",,,,,,,,Heat emanates from the radiator. \br Confidence emanated from her. \br A strange smell has emanated from the basement.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,ERR /êr/ ERRAR,Advanced,,"To make a mistake \br regular \br err; erred; erred \br /êr/; /êrd/; /êrd/",,,,,,,,To err is human. \br He erred in his calculations. \br I have erred and I apologize.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,EXACERBATE /igzáserbêit/ EXACERBAR,Advanced,,"To make a problem worse \br regular \br exacerbate; exacerbated; exacerbated \br /igzáserbêit/; /igzáserbêitid/; /igzáserbêitid/",,,,,,,,Stress exacerbates illness. \br His comment exacerbated the conflict. \br The drought has exacerbated food shortages.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,INCUR /inkêr/ INCORRER,Advanced,,"To become subject to something unpleasant \br regular \br incur; incurred; incurred \br /inkêr/; /inkêrd/; /inkêrd/",,,,,,,,You may incur extra fees. \br He incurred huge debts. \br She has incurred the wrath of her boss.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,INTERVENE /intervíin/ INTERVIR,Advanced,,"To get involved in a situation to change it \br regular \br intervene; intervened; intervened \br /intervíin/; /intervíind/; /intervíind/",,,,,,,,The teacher intervened in the fight. \br He intervened to prevent a disaster. \br The UN has intervened many times.,,,,,
