set_id,title,pattern_type,level,question_text,content_data
1,"WHAT - Asking for Information",formula_table,Beginner,"How to use WHAT in questions?","{""formula"":""What + verb be + subject? OR What + do/does + subject + main verb?"",""affirmative"":""What is your name?"",""negative"":""What don't you understand?"",""question"":""What do you want?"",""conjugations"":[{""person"":""Asking for identity"",""aff"":""What is your name?"",""ques"":""What do you do for work?""},{""person"":""Asking about objects"",""aff"":""What is this?"",""ques"":""What colour is your car?""}]}"
1,"WHAT - Portuguese vs English Difference",usage_cases,Beginner,"When Portuguese uses ""Qual"", English uses ""What""","{""usage1"":""Names & Identity"",""example1a"":""What is your name? (NOT: Which is your name)"",""example1b"":""What is your phone number?"",""usage2"":""Characteristics"",""example2"":""What colour is your car? What time is it?"",""teacher_note"":""In Portuguese you say 'Qual é seu nome?' but in English we say 'What is your name?' This is a very common mistake to avoid!""}"
1,"WHO - Asking About People",formula_table,Beginner,"How to ask about people using WHO?","{""formula"":""Who + verb + complement?"",""affirmative"":""Who is your teacher?"",""negative"":""Who isn't coming?"",""question"":""Who called you?"",""conjugations"":[{""person"":""Identity"",""aff"":""Who are you?"",""ques"":""Who is that woman?""},{""person"":""People in actions"",""aff"":""Who did this?"",""ques"":""Who called you?""},{""person"":""With prepositions"",""aff"":""Who do you live with?"",""ques"":""Who are you talking to?""}]}"
1,"WHO - Prepositions at the End",deep_dive,Intermediate,"Why prepositions go at the end of WHO questions","{""bullets"":[""In English, prepositions (with, for, to, about) go at the END of WHO questions"",""❌ With who do you live? (too formal, unnatural)"",""✅ Who do you live with? (correct, natural)"",""❌ To who are you talking?"",""✅ Who are you talking to?"",""❌ For who is this gift?"",""✅ Who is this gift for?""],""explanation"":""Portuguese puts the preposition at the beginning ('Com quem você mora?'). English puts it at the end. This is one of the biggest differences between the two languages. Don't try to translate word-for-word!""}"
1,"WHERE - Asking About Places",formula_table,Beginner,"How to ask about locations using WHERE?","{""formula"":""Where + be + subject? (location) OR Where + do/does + subject + main verb? (action in a place)"",""affirmative"":""Where is the supermarket?"",""negative"":""Where isn't she?"",""question"":""Where do you live?"",""conjugations"":[{""person"":""Location"",""aff"":""Where are you?"",""ques"":""Where is the bathroom?""},{""person"":""Origin"",""aff"":""Where are you from?"",""ques"":""Where do you come from?""},{""person"":""Action location"",""aff"":""Where does she work?"",""ques"":""Where do you study?""}]}"
1,"WHERE - The ""FROM"" Rule",usage_cases,Beginner,"Using WHERE with ""from"" to ask about origin","{""usage1"":""Asking where someone was born/raised"",""example1a"":""Where are you from? = De onde você é?"",""example1b"":""Where do you come from? = De onde você vem?"",""usage2"":""The preposition comes at the end"",""example2"":""NOT: From where are you? (too formal)"",""teacher_note"":""Just like Portuguese puts 'de' at the beginning ('De onde você é?'), English puts 'from' at the end. Same meaning, different word order!""}"
1,"WHEN - Asking About Time",formula_table,Beginner,"How to ask about days, dates, hours using WHEN?","{""formula"":""When + be + subject? (fixed event) OR When + do/does + subject + main verb? (action time)"",""affirmative"":""When is your birthday?"",""negative"":""When don't you work?"",""question"":""When does the movie start?"",""conjugations"":[{""person"":""Future time"",""aff"":""When is the party?"",""ques"":""When will you arrive?""},{""person"":""Past time"",""aff"":""When were you born?"",""ques"":""When did you arrive?""},{""person"":""Daily routines"",""aff"":""When do you wake up?"",""ques"":""When do you have lunch?""}]}"
1,"WHEN - Answering with Time Expressions",usage_cases,Beginner,"How to answer WHEN questions","{""usage1"":""Specific times"",""example1a"":""At 7 o'clock / at 8:30"",""example1b"":""At noon / at midnight"",""usage2"":""Days and dates"",""example2"":""On Monday / on July 4th / on my birthday"",""usage3"":""Months and years"",""example3"":""In June / in 2024 / in summer"",""usage4"":""Relative time"",""example4"":""Yesterday / tomorrow / next week / two days ago""}"
1,"WHY - Asking for Reasons",formula_table,Beginner,"How to ask for explanations using WHY?","{""formula"":""Why + do/does/did + subject + main verb? OR Why + be + subject + adjective?"",""affirmative"":""Why are you sad?"",""negative"":""Why aren't you coming?"",""question"":""Why do you study English?"",""conjugations"":[{""person"":""Emotions"",""aff"":""Why are you happy?"",""ques"":""Why is she crying?""},{""person"":""Actions"",""aff"":""Why did you leave?"",""ques"":""Why do you work so hard?""},{""person"":""Explanations"",""aff"":""Why is the store closed?"",""ques"":""Why didn't you call?""}]}"
1,"WHY - Answering with BECAUSE",usage_cases,Beginner,"How to answer WHY questions correctly","{""usage1"":""Standard answer structure"",""example1a"":""Why are you studying? → Because I have a test tomorrow."",""example1b"":""Why is she late? → Because the bus didn't come."",""usage2"":""BECAUSE vs BECAUSE OF"",""example2"":""Because + clause (subject + verb): Because I was tired."",""example2b"":""Because of + noun: Because of the traffic."",""teacher_note"":""In Portuguese, 'por que' (question) vs 'porque' (answer). English also has this difference: 'Why' asks, 'Because' answers!""}"
1,"WHICH - Choosing from Limited Options",formula_table,Intermediate,"How to ask for a choice from a specific group","{""formula"":""Which + noun + verb? OR Which + verb? (when noun is understood)"",""affirmative"":""Which shirt do you prefer?"",""negative"":""Which one don't you like?"",""question"":""Which is your car?"",""conjugations"":[{""person"":""Two options"",""aff"":""Which colour, black or white?"",""ques"":""Which hand do you write with?""},{""person"":""Multiple options"",""aff"":""Which of these books is yours?"",""ques"":""Which day works for you?""},{""person"":""Singular vs plural"",""aff"":""Which one? / Which ones?"",""ques"":""Which shoes are you wearing?""}]}"
1,"WHAT vs WHICH - The Critical Difference",deep_dive,Intermediate,"When to use WHAT (open) vs WHICH (limited choices)","{""bullets"":[""WHAT = unlimited possibilities. The answer is open."",""WHICH = limited options. The answer comes from a small, specific group."",""WHAT example: 'What movie do you want to watch?' (any movie in the world)"",""WHICH example: 'Which movie do you want: Comedy or Horror?' (only two choices)"",""WHAT: 'What is your phone number?' (unique answer, general info)"",""WHICH: 'Which number is yours?' (looking at a list of 3 numbers)""],""explanation"":""If you can imagine a short list of options (2, 3, or 4 things), use WHICH. If you cannot imagine a short list because there are too many possibilities, use WHAT. This is different from Portuguese where 'qual' is used more often.""}"
1,"WHOSE - Asking About Possession",formula_table,Beginner,"How to ask who owns something using WHOSE","{""formula"":""Whose + noun + be + ...?"",""affirmative"":""Whose phone is this?"",""negative"":""Whose car isn't working?"",""question"":""Whose books are these?"",""conjugations"":[{""person"":""Single item"",""aff"":""Whose pen is this?"",""ques"":""Whose idea was it?""},{""person"":""Multiple items"",""aff"":""Whose keys are these?"",""ques"":""Whose children are they?""},{""person"":""Answer format"",""aff"":""It's my pen / It's mine"",""ques"":""It's hers / It's his""}]}"
1,"WHOSE - Answering with Possessives",usage_cases,Beginner,"How to answer WHOSE questions using possessive adjectives and pronouns","{""usage1"":""Possessive adjectives (need a noun)"",""example1a"":""It's my pen. / It's your book. / It's his car."",""example1b"":""It's her phone. / It's our house. / It's their dog."",""usage2"":""Possessive pronouns (replace the noun)"",""example2a"":""It's mine. / It's yours. / It's his."",""example2b"":""It's hers. / It's ours. / It's theirs."",""teacher_note"":""Possessive pronouns are shorter and more natural in conversation. 'Whose phone is this?' → 'Mine.' (one word!)""}"
1,"HOW - Manner and Condition",formula_table,Beginner,"Using HOW to ask about way, state, and condition","{""formula"":""How + be + subject? (condition) OR How + do/does + subject + main verb? (manner)"",""affirmative"":""How are you?"",""negative"":""How isn't it working?"",""question"":""How do you make pizza?"",""conjugations"":[{""person"":""Condition/health"",""aff"":""How is your father?"",""ques"":""How are you feeling?""},{""person"":""Manner/way"",""aff"":""How does this work?"",""ques"":""How do I get there?""},{""person"":""Quality"",""aff"":""How was the movie?"",""ques"":""How did you like it?""}]}"
1,"HOW OLD - Asking About Age",formula_table,Beginner,"Using HOW OLD to ask someone's age","{""formula"":""How old + be + subject?"",""affirmative"":""How old are you?"",""negative"":""How old isn't he?"",""question"":""How old is your brother?"",""conjugations"":[{""person"":""Person"",""aff"":""How old is she?"",""ques"":""How old are your parents?""},{""person"":""Thing"",""aff"":""How old is this building?"",""ques"":""How old is your car?""},{""person"":""Answer format"",""aff"":""I am 25 years old. / I'm 25."",""ques"":""She's ten (years old).""}]}"
1,"HOW MANY vs HOW MUCH",formula_table,Intermediate,"The critical difference between countable and uncountable nouns","{""formula"":""HOW MANY + plural countable noun? | HOW MUCH + uncountable noun?"",""affirmative"":""How many apples? / How much water?"",""negative"":""How many people aren't coming?"",""question"":""How many sisters do you have?"",""conjugations"":[{""person"":""Countable (can count individually)"",""aff"":""apples, cars, books, people, ideas"",""ques"":""How many students are in the class?""},{""person"":""Uncountable (cannot count individually)"",""aff"":""water, sugar, money, time, information"",""ques"":""How much coffee do you drink?""},{""person"":""Price (HOW MUCH + no noun)"",""aff"":""How much is this shirt?"",""ques"":""How much does it cost?""}]}"
1,"HOW OFTEN - Asking About Frequency",formula_table,Intermediate,"Using HOW OFTEN to ask how frequently something happens","{""formula"":""How often + do/does + subject + main verb?"",""affirmative"":""How often do you exercise?"",""negative"":""How often don't you sleep well?"",""question"":""How often does she travel?"",""conjugations"":[{""person"":""Answer with frequency adverbs"",""aff"":""always, usually, often, sometimes, rarely, never"",""ques"":""I exercise twice a week.""},{""person"":""Answer with time expressions"",""aff"":""every day, once a week, three times a month"",""ques"":""She visits her parents every Sunday.""},{""person"":""Portuguese equivalent"",""aff"":""Com que frequência...?"",""ques"":""Quantas vezes...?""}]}"
1,"HOW LONG - Asking About Duration",formula_table,Intermediate,"Using HOW LONG to ask about length of time","{""formula"":""How long + be + subject? (duration of an event) OR How long + does it take + to + verb? (time needed)"",""affirmative"":""How long is the movie?"",""negative"":""How long isn't the flight?"",""question"":""How long does it take to get there?"",""conjugations"":[{""person"":""Duration of an event"",""aff"":""How long is the class?"",""ques"":""The movie is two hours long.""},{""person"":""Time needed for an action"",""aff"":""How long does it take to cook?"",""ques"":""It takes about 30 minutes.""},{""person"":""Answer format"",""aff"":""for two hours, since Monday, three days"",""ques"":""I've been waiting for an hour.""}]}"
1,"HOW FAR - Asking About Distance",formula_table,Intermediate,"Using HOW FAR to ask about physical distance","{""formula"":""How far + be + subject + from + place?"",""affirmative"":""How far is your house from here?"",""negative"":""How far isn't the station?"",""question"":""How far do you live from work?"",""conjugations"":[{""person"":""Distance in km/miles"",""aff"":""It's 10 kilometers away."",""ques"":""It's about 5 miles from here.""},{""person"":""Distance in time"",""aff"":""It's a 20-minute walk."",""ques"":""It takes 10 minutes by car.""},{""person"":""Portuguese equivalent"",""aff"":""Qual a distância? / Quão longe?"",""ques"":""Sua casa fica muito longe daqui?""}]}"
