"id","set","set_id","type","title","level","question_text","definition","sentence","opt1","opt2","opt3","opt4","correct_answer","explanation","example1","example2","example3","example4","usage1","tip"
"","English Idioms","40","deep_dive","All ears \br Todo ouvidos","Beginner","","Listening attentively.","","","","","","","","Tell me your idea – I'm all ears. \br She was all ears when the teacher explained the surprise.","","","",""
"","English Idioms","40","deep_dive","As easy as ABC \br Fácil como comer pastel","Beginner","","Very simple.","","","","","","","","This recipe is as easy as ABC. \br The instructions were as easy as ABC – even a child could follow them.","","","",""
"","English Idioms","40","deep_dive","Be broke \br Estar duro / sem grana","Beginner","","To have no money.","","","","","","","","I can't go out tonight, I'm broke. \br After buying the car, he was completely broke.","","","",""
"","English Idioms","40","deep_dive","Be up to someone \br Depende de alguém","Beginner","","To be someone's decision.","","","","","","","","It's up to you whether we go or stay. \br It's up to the manager to approve the budget.","","","",""
"","English Idioms","40","deep_dive","Blow your nose \br Assoar o nariz","Beginner","","To clear your nose by forcing air through it.","","","","","","","","Please blow your nose instead of sniffing. \br He blew his nose loudly during the concert.","","","",""
"","English Idioms","40","deep_dive","Catch a cold \br Pegar um resfriado","Beginner","","To become ill with a cold.","","","","","","","","Put on a jacket or you'll catch a cold. \br She caught a cold after walking in the rain.","","","",""
"","English Idioms","40","deep_dive","Change your mind \br Mudar de ideia","Beginner","","To decide something different.","","","","","","","","I was going to study law, but I changed my mind. \br He changed his mind at the last minute and stayed home.","","","",""
"","English Idioms","40","deep_dive","Do someone a favour \br Fazer um favor a alguém","Beginner","","To help someone.","","","","","","","","Could you do me a favour and turn off the lights? \br She did me a huge favour by covering my shift.","","","",""
"","English Idioms","40","deep_dive","Eat out \br Comer fora (restaurante)","Beginner","","To eat at a restaurant.","","","","","","","","Let's eat out tonight – I don't feel like cooking. \br They eat out every Friday night.","","","",""
"","English Idioms","40","deep_dive","Fall in love \br Apaixonar-se","Beginner","","To start loving someone.","","","","","","","","They fell in love while travelling in Italy. \br He fell in love with her the moment they met.","","","",""
"","English Idioms","40","deep_dive","Get along with \br Dar-se bem com","Beginner","","To have a good relationship.","","","","","","","","I get along well with my colleagues. \br Do you get along with your new roommate?","","","",""
"","English Idioms","40","deep_dive","Go on foot \br Ir a pé","Beginner","","To walk instead of using transport.","","","","","","","","The shop is near; let's go on foot. \br We went on foot to save money on taxi.","","","",""
"","English Idioms","40","deep_dive","Have a good time \br Divertir-se","Beginner","","To enjoy yourself.","","","","","","","","We had a good time at the party. \br Did you have a good time at the beach?","","","",""
"","English Idioms","40","deep_dive","Keep in touch \br Manter contacto","Beginner","","To continue communicating.","","","","","","","","Promise you'll keep in touch after you move. \br Even though they live far apart, they keep in touch regularly.","","","",""
