id;set;set_id;type;title;level;question_text;definition;sentence;opt1;opt2;opt3;opt4;correct_answer;explanation;example1;example2;example3;example4;usage1;tip;image_url;description;audio_url;prompt;transcript;front_fields
;Special Uses of To Be;;usage_cases;be + adjective (estado temporário);B1;;"Be" followed by an adjective to describe a temporary state or condition;;;;;;;I am tired today.;She is hungry right now.;They are happy at the party.;;Describing how someone feels or appears at a specific moment;Pronúncia do verbo: /bi/ | Exceção: Não use o presente contínuo para estados permanentes (“I am being tired” ❌). Use o contínuo apenas para comportamento: “You are being silly.”;;;;;;title
;Special Uses of To Be;;usage_cases;be + adjective (característica permanente);B1;;"Be" followed by an adjective to describe a permanent quality or fact;;;;;;;He is tall.;Water is wet.;The sky is blue.;;Stating facts or inherent characteristics;Pronúncia: /bi/ | Exceção: Para características que podem mudar, às vezes usa-se “be being + adj” para enfatizar comportamento momentâneo: “He is being cruel.”;;;;;;title
;Special Uses of To Be;;usage_cases;be + noun (identidade);B1;;"Be" linking a subject to a noun that defines identity or role;;;;;;;She is a doctor.;They are students.;This is my house.;;Expressing what or who someone/something is;Pronúncia: /bi/ | Exceção: Em contextos temporários de função, pode-se usar o contínuo: “He is being a father to that child.” (agindo como pai);;;;;;title
;Special Uses of To Be;;usage_cases;be + prepositional phrase (localização);B1;;"Be" followed by a prepositional phrase to indicate location or position;;;;;;;The book is on the table.;We are at the park.;She is in the kitchen.;;Describing where someone or something is situated;Pronúncia: /bi/ | Exceção: Para ações em andamento, use o presente contínuo (“She is in the kitchen cooking” vs. “She is cooking in the kitchen”).;;;;;;title
;Special Uses of To Be;;usage_cases;be for existência (there + be);B1;;Use of "there is/are" to express existence of something;;;;;;;There is a cat on the roof.;There are many stars tonight.;There was a problem yesterday.;;Introducing new information or stating that something exists;Pronúncia: /bi/ em “there be” | Exceção: Em frases negativas e perguntas, a ordem muda: “There isn’t any milk.” “Is there a bank near here?”;;;;;;title
;Special Uses of To Be;;usage_cases;be + -ing (presente contínuo);B1;;"Be" as auxiliary verb to form the present continuous tense for actions happening now;;;;;;;I am reading a book.;She is sleeping.;They are playing soccer.;;Describing an action in progress at the moment of speaking;Pronúncia: /bi/ (auxiliar fraco: /bi/ ou /bə/) | Exceção: Verbos estativos geralmente não usam a forma contínua com “be” (ex.: “I am knowing” ❌).;;;;;;title
;Special Uses of To Be;;usage_cases;be going to (futuro planejado);B1;;"Be going to" + verb to express a planned future action or a prediction based on evidence;;;;;;;I am going to study medicine.;She is going to rain? (She is going to call you later.);They are going to build a new school.;;Talking about intentions or future events that are likely to happen;Pronúncia: /bi góin tu/ (reduzido: /bɪ gɔnə/) | Exceção: “Will” é usado para decisões espontâneas ou previsões sem evidência. “Going to” enfatiza plano ou evidência atual.;;;;;;title
;Special Uses of To Be;;usage_cases;be able to (capacidade);B1;;"Be able to" + verb to express ability, often replacing "can" in different tenses;;;;;;;I am able to swim.;She was able to finish on time.;They will be able to attend.;;Expressing capability or possibility, especially in past or future tenses;Pronúncia: /bi êibol tu/ | Exceção: “Can” é mais comum no presente. “Be able to” é necessário para tempos verbais que “can” não tem (ex.: futuro, present perfect).;;;;;;title
;Special Uses of To Be;;usage_cases;be supposed to (obrigação ou expectativa);B1;;"Be supposed to" + verb to indicate what is expected or required by rules or others;;;;;;;You are supposed to wear a uniform.;She was supposed to call me.;They are not supposed to enter here.;;Expressing obligation, expectation, or common belief;Pronúncia: /bi supôust tu/ | Exceção: “Should” expressa conselho, não necessariamente uma regra externa. “Be supposed to” implica que alguém ou algo estabeleceu a expectativa.;;;;;;title
;Special Uses of To Be;;usage_cases;be about to (iminência);B1;;"Be about to" + verb to express that something will happen very soon;;;;;;;The movie is about to start.;I was about to leave when you called.;She is about to cry.;;Describing an action that will occur in the immediate future;Pronúncia: /bi abáut tu/ | Exceção: Não use com advérbios de tempo específicos (“is about to start in 5 minutes” ❌). Já carrega a ideia de “agora”.;;;;;;title
;Special Uses of To Be;;usage_cases;be + past participle (voz passiva);B1;;"Be" + past participle to form the passive voice, focusing on the action receiver;;;;;;;The cake was eaten by the kids.;English is spoken here.;The letter will be sent tomorrow.;;When the subject receives the action instead of doing it;Pronúncia: /bi/ + particípio | Exceção: Em frases passivas, o agente (by...) é opcional. Use a voz ativa quando o executor for mais importante.;;;;;;title
;Special Uses of To Be;;usage_cases;be used to (estar acostumado);B1;;"Be used to" + noun/gerund to express being accustomed to something;;;;;;;I am used to waking up early.;She is not used to the heat.;They were used to working long hours.;;Describing familiarity or habituation;Pronúncia: /bi iúst tu/ | Exceção: Não confundir com “used to” no passado (fazia algo regularmente no passado, mas não agora). “Be used to” = estar acostumado.;;;;;;title
