id,set,type,title,level,question_text,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,example3,example4,usage1,tip
,English Vocabulary: Work & Life,multiple_choice,Office - Late to Meeting,Beginner,You are 5 minutes late to a meeting. What do you say?,,Sorry I'm late. Traffic was bad.,I'm here now.,You started without me?,It doesn't matter.,0,"Apologize briefly and give a short reason. Don't make excuses or blame others.","Sorry I'm late. Let me catch up. What did I miss?","Sorry everyone. The elevator was stuck.",,,,
,English Vocabulary: Work & Life,multiple_choice,Office - Asking for Vacation,Intermediate,How do you request time off from your manager?,,Could I request a few days off next month?,I'm not coming next week.,I need vacation.,Book me off.,0,"Politely request using 'Could I' or 'May I'. Give advance notice.","Could I take three days off starting the 15th? I have available vacation days.","May I request PTO for the week of Christmas?",,,,
,English Vocabulary: Work & Life,multiple_choice,Office - Computer Problem,Beginner,Your computer won't turn on. Who do you call?,,IT support.,Your manager.,The CEO.,The custodian.,0,"IT support handles technology problems. Most companies have a help desk number or ticket system.","My computer is frozen. Can you send someone from IT to my desk?","I submitted a ticket to IT. They said they'll come within an hour.",,,,
,English Vocabulary: Work & Life,multiple_choice,Office - Answering Phone,Beginner,You answer a call at work. What do you say?,,Good morning ABC Company. This is Maria speaking.,Hello?,Who is this?,Yeah?,0,"State the company name and your name. It sounds professional and helps the caller know they dialed correctly.","Good afternoon Smith Industries. How may I direct your call?","Thank you for calling. This is John. How can I help you?",,,,
,English Vocabulary: Work & Life,multiple_choice,Factory - Safety First,Beginner,You see a coworker not wearing safety goggles. What do you say?,,Hey don't forget your safety goggles. It's the rule.,I don't care what you do.,You're going to get fired.,Mind your own business.,0,"Politely remind them of safety rules. It protects everyone, including you.","The sign says safety glasses required in this area. Let me grab you a pair.","Hey, you need goggles in here. There's a box by the door.",,,,
,English Vocabulary: Work & Life,multiple_choice,Factory - Machine Problem,Intermediate,A machine starts making a strange noise. What do you do?,,Stop the machine and tell your supervisor.,Keep using it.,Try to fix it yourself.,Ignore it.,0,"Safety first. Stop the machine and report it. Never fix machinery unless you're trained.","The press is making a grinding sound. I shut it down and need maintenance.","That noise doesn't sound right. I'm going to hit the emergency stop.",,,,
,English Vocabulary: Work & Life,multiple_choice,Factory - Heavy Lifting,Beginner,A box is too heavy for you to lift alone. What do you say?,,Could you help me lift this? It's too heavy alone.,I can't do this.,Someone come here.,This is impossible.,0,"Ask for help directly. Lifting alone can cause injury. Team lifting is safer.","This box is over 50 pounds. Can you grab the other side so we can lift together?","Let's lift this together. On three. One, two, three.",,,,
,English Vocabulary: Work & Life,multiple_choice,School - Late to Class,Beginner,You arrive 10 minutes late to class. What do you do?,,Quietly enter and sit down. Apologize to the teacher after class.,Walk in loudly and announce you're here.,Don't go in at all.,Blame your parents.,0,"Enter quietly to avoid disturbing other students. Apologize after class, not during the lesson.","Sorry I'm late. The bus was delayed. May I come in?","I apologize for being late. It won't happen again.",,,,
,English Vocabulary: Work & Life,multiple_choice,School - Forgot Homework,Beginner,You forgot your homework. What do you say to the teacher?,,I'm sorry. I forgot my homework. Can I bring it tomorrow?,I did it but I lost it.,It's not my fault.,Everyone else forgot too.,0,"Be honest and take responsibility. Offer a solution (bring it tomorrow). Lying makes it worse.","My homework is at home. May I email it to you tonight?","I left my homework on the kitchen table. Can I bring it tomorrow?",,,,
,English Vocabulary: Work & Life,multiple_choice,School - Group Project,Intermediate,A group member isn't doing their share of the work. What do you say to them?,,Can we divide the tasks more clearly? I want to make sure everyone knows their part.,You never do anything.,I'll do everything myself.,I'm telling the teacher.,0,"Address the problem directly but politely. Focus on solutions, not blame.","Which part can you take? We need to finish the slides by Thursday.","Let's check in to see where everyone is. Are you stuck on your part?",,,,
,English Vocabulary: Work & Life,multiple_choice,School - Asking for Help,Beginner,You don't understand the math lesson. What do you say to the teacher?,,Could you explain that again? I didn't fully understand.,This makes no sense.,You're going too fast.,I give up.,0,"Politely ask for clarification. Most teachers are happy to help students who ask.","Could you go over the last part one more time? I want to make sure I get it.","I'm confused about question 5. Can you help me after class?",,,,
,English Vocabulary: Work & Life,multiple_choice,Construction - PPE,Intermediate,What does PPE stand for?,,Personal Protective Equipment.,Public Protection Equipment.,Professional Practice Exam.,Power Processing Equipment.,0,"PPE = hard hat, safety glasses, high-vis vest, gloves, steel-toe boots, hearing protection.","Before entering the site, check that you have all your PPE. No PPE, no entry.","My PPE includes a hard hat, safety vest, and steel-toed boots.",,,,
,English Vocabulary: Work & Life,multiple_choice,Construction - Fall Protection,Intermediate,At what height is fall protection required?,,Usually 6 feet (2 meters) or higher.,Any height.,Only above 50 feet.,Fall protection is optional.,0,"OSHA (US) requires fall protection at 6 feet. Construction is one of the most dangerous jobs because of falls.","Always tie off your harness when working on a roof or scaffold above 6 feet.","I need a harness and lanyard for this roof job.",,,,
,English Vocabulary: Work & Life,multiple_choice,Park - Leave No Trace,Beginner,What does 'leave no trace' mean?,,Take all your trash with you. Leave the park as clean as you found it.,Leave food for animals.,Carve your name into a tree.,Pick wildflowers.,0,"The principle is: don't leave any evidence you were there. Pack it in, pack it out.","We brought a trash bag and carried out all our bottles, wrappers, and apple cores.","Take only pictures. Leave only footprints.",,,,
,English Vocabulary: Work & Life,multiple_choice,Bicycle - Hand Signals,Beginner,What does your left arm straight out to the side mean?,,I am turning left.,I am turning right.,I am stopping.,I am slowing down.,0,"Hand signals tell drivers what you plan to do. Left arm straight out = left turn. Left arm bent up = right turn. Left arm bent down = stop.","I put my left arm out to show I was turning left, but the driver behind me didn't see it.","Always signal before turning or changing lanes.",,,,
,English Vocabulary: Work & Life,multiple_choice,Bicycle - Right of Way,Intermediate,Who goes first at a 4-way stop when you're on a bike?,,The person who arrived first, like a car.,Bikes always go first.,Cars always go first.,The fastest person goes first.,0,"Bikes follow the same road rules as cars at stop signs and lights. Don't assume drivers see you.","I arrived at the stop sign at the same time as a car. I waved them to go first to be safe.","It's your turn. You were here first.",,,,
,English Vocabulary: Work & Life,multiple_choice,Cooking - Knife Safety,Beginner,What should you never do with a knife?,,Catch a falling knife.,Cut away from your body.,Use a cutting board.,Keep knives sharp.,0,"A falling knife has no handle. Let it fall. Moving your hand to catch it is how people get severe cuts.","I dropped the chef's knife and just stepped back. It hit the floor. I picked it up carefully.","Don't try to catch a falling knife. Just jump back.",,,,
,English Vocabulary: Work & Life,multiple_choice,Cooking - Smoke Point,Intermediate,What happens when oil reaches its 'smoke point'?,,The oil starts smoking, burning, and releasing harmful chemicals.,The oil becomes healthier.,The oil solidifies.,The oil doubles in volume.,0,"Every oil has a smoke point. Butter smokes low. Avocado oil smokes very high (520°F). Don't heat oil past its smoke point.","The pan is smoking. You heated the oil too high. Turn down the heat and start over.","Use avocado oil for high-heat cooking like searing steak.",,,,
,English Vocabulary: Work & Life,multiple_choice,Cooking - Food Safety,Intermediate,What is the 'danger zone' temperature for food?,,Between 40°F and 140°F (4°C - 60°C). Bacteria grows fastest here.,Below 32°F.,Above 200°F.,Any temperature is safe.,0,"Don't leave cooked food at room temperature for more than 2 hours. In hot weather, 1 hour. Refrigerate leftovers quickly.","The potato salad sat out for 4 hours. Throw it away. It's not safe to eat.","Put the leftovers in the fridge within 2 hours.",,,,
,English Vocabulary: Work & Life,multiple_choice,Restaurant - Server Mistake,Beginner,A server brings you the wrong dish. What do you say?,,Excuse me I ordered the fish not the chicken.,This is wrong.,I'm not eating this.,You messed up.,0,"Politely state the error and what you ordered. Don't be rude. Mistakes happen.","I think there's been a mistake. I ordered the salmon. This looks like halibut.","Excuse me, I asked for no onions. Could I get a new one please?",,,,
,English Vocabulary: Work & Life,multiple_choice,Restaurant - Allergy,Intermediate,You have a severe nut allergy. What do you tell the server?,,I have a severe nut allergy. Can you tell the chef?,No nuts.,I'll die if there are nuts.,Don't put nuts in my food.,0,"State the allergy clearly and ask them to tell the chef directly. Some kitchens have allergy protocols.","I have a shellfish allergy. Can you make sure my food doesn't touch any shrimp or crab surfaces?","Is this dish prepared in a nut-free area? I have a severe allergy.",,,,
