id,set,set_id,type,title,level,question_text,definition,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,example3,example4,usage1,tip
598,Verbs - Present & Past Tenses,34,deep_dive,LOVE /lûv/ AMAR,Beginner,,To have strong affection for someone or something \br regular \br love; loved; loved \br /lûv/; /lûvd/; /lûvd/,,,,,,,,I love my dog. \br She loved the film. \br She has loved that song for years.,,,,,
599,Verbs - Present & Past Tenses,34,deep_dive,BAKE /bêik/ ASSAR,Beginner,,To cook in an oven using dry heat \br regular \br bake; baked; baked \br /bêik/; /bêikt/; /bêikt/,,,,,,,,I bake cookies. \br He baked a cake. \br He has baked three pies.,,,,,
600,Verbs - Present & Past Tenses,34,deep_dive,SMILE /smáil/ SORRIR,Beginner,,To turn up the corners of your mouth to show happiness \br regular \br smile; smiled; smiled \br /smáil/; /smáild/; /smáild/,,,,,,,,You smile every day. \br The baby smiled at me. \br She has never smiled like that.,,,,,
601,Verbs - Present & Past Tenses,34,deep_dive,HOPE /hôup/ ESPERAR,Beginner,,To want something to happen \br regular \br hope; hoped; hoped \br /hôup/; /hôupt/; /hôupt/,,,,,,,,I hope you are well. \br We hoped for sun. \br They had hoped to come.,,,,,
602,Verbs - Present & Past Tenses,34,deep_dive,LIKE /láik/ GOSTAR,Beginner,,To find something pleasant \br regular \br like; liked; liked \br /láik/; /láikt/; /láikt/,,,,,,,,I like pizza. \br He liked the book. \br She has always liked cats.,,,,,
603,Verbs - Present & Past Tenses,34,deep_dive,DANCE /dæns/ DANÇAR,Beginner,,To move your body to music \br regular \br dance; danced; danced \br /dæns/; /dænst/; /dænst/,,,,,,,,We dance on Fridays. \br They danced all night. \br I have never danced salsa.,,,,,
604,Verbs - Present & Past Tenses,34,deep_dive,LIVE /lîv/ VIVER,Beginner,,To have your home in a place \br regular \br live; lived; lived \br /lîv/; /lîvd/; /lîvd/,,,,,,,,They live in London. \br She lived in Paris. \br He has lived here for ten years.,,,,,
605,Verbs - Present & Past Tenses,34,deep_dive,SAVE /sêiv/ SALVAR,Beginner,,To keep from harm or for later \br regular \br save; saved; saved \br /sêiv/; /sêivd/; /sêivd/,,,,,,,,I save money. \br He saved my life. \br We have saved enough.,,,,,
606,Verbs - Present & Past Tenses,34,deep_dive,USE /iúz/ USAR,Beginner,,To do something with a tool or method \br regular \br use; used; used \br /iúz/; /iúzd/; /iúzd/,,,,,,,,I use a pen. \br She used my phone. \br The car has been used a lot.,,,,,
607,Verbs - Present & Past Tenses,34,deep_dive,CARE /kér/ CUIDAR,Beginner,,To feel concern or interest \br regular \br care; cared; cared \br /kér/; /kérd/; /kérd/,,,,,,,,I care about you. \br He cared for his plant. \br She has always cared for animals.,,,,,
608,Verbs - Present & Past Tenses,34,deep_dive,HATE /hêit/ ODIAR,Beginner,,To strongly dislike \br regular \br hate; hated; hated \br /hêit/; /hêitid/; /hêitid/,,,,,,,,I hate spiders. \br She hated the soup. \br He has hated mornings since childhood.,,,,,
609,Verbs - Present & Past Tenses,34,deep_dive,CHANGE /tchêindj/ MUDAR,Beginner,,To become different \br regular \br change; changed; changed \br /tchêindj/; /tchêindjd/; /tchêindjd/,,,,,,,,I change my mind. \br He changed jobs. \br The world has changed.,,,,,
610,Verbs - Present & Past Tenses,34,deep_dive,CLOSE /klôuz/ FECHAR,Beginner,,To shut \br regular \br close; closed; closed \br /klôuz/; /klôuzd/; /klôuzd/,,,,,,,,I close the door. \br She closed the window. \br The shop has closed early.,,,,,
611,Verbs - Present & Past Tenses,34,deep_dive,MOVE /mûuv/ MOVER,Beginner,,To change position or place \br regular \br move; moved; moved \br /mûuv/; /mûuvd/; /mûuvd/,,,,,,,,We move house often. \br They moved to Spain. \br She has moved again.,,,,,
612,Verbs - Present & Past Tenses,34,deep_dive,ARRIVE /aráiv/ CHEGAR,Beginner,,To reach a place \br regular \br arrive; arrived; arrived \br /aráiv/; /aráivd/; /aráivd/,,,,,,,,I arrive at 8 am. \br He arrived late. \br The letter has arrived.,,,,,
613,Verbs - Present & Past Tenses,34,deep_dive,NEED /nîid/ PRECISAR,Beginner,,To require something \br regular \br need; needed; needed \br /nîid/; /nîidid/; /nîidid/,,,,,,,,I need water. \br He needed a break. \br She has always needed help.,,,,,
614,Verbs - Present & Past Tenses,34,deep_dive,SEEM /sîim/ PARECER,Beginner,,To appear to be \br regular \br seem; seemed; seemed \br /sîim/; /sîimd/; /sîimd/,,,,,,,,You seem happy. \br It seemed easy. \br It has never seemed possible.,,,,,
615,Verbs - Present & Past Tenses,34,deep_dive,WORK /uêrk/ TRABALHAR,Beginner,,To do a job or activity \br regular \br work; worked; worked \br /uêrk/; /uêrkt/; /uêrkt/,,,,,,,,I work in a café. \br She worked late. \br He has worked here for years.,,,,,
616,Verbs - Present & Past Tenses,34,deep_dive,ASK /æsk/ PERGUNTAR,Beginner,,To put a question \br regular \br ask; asked; asked \br /æsk/; /æskt/; /æskt/,,,,,,,,I ask many questions. \br He asked for directions. \br She has asked me before.,,,,,
617,Verbs - Present & Past Tenses,34,deep_dive,CALL /kóol/ CHAMAR,Beginner,,To phone or shout for someone \br regular \br call; called; called \br /kóol/; /kóold/; /kóold/,,,,,,,,I call my mum. \br She called a taxi. \br He hasn't called yet.,,,,,
618,Verbs - Present & Past Tenses,34,deep_dive,HELP /hélp/ AJUDAR,Beginner,,To assist someone \br regular \br help; helped; helped \br /hélp/; /hélpt/; /hélpt/,,,,,,,,I help my friends. \br He helped me cook. \br She has helped a lot of people.,,,,,
619,Verbs - Present & Past Tenses,34,deep_dive,START /stárt/ COMEÇAR,Beginner,,To begin \br regular \br start; started; started \br /stárt/; /stártid/; /stártid/,,,,,,,,We start at nine. \br The film started at seven. \br School has already started.,,,,,
620,Verbs - Present & Past Tenses,34,deep_dive,FOLLOW /fálou/ SEGUIR,Beginner,,To go behind or obey \br regular \br follow; followed; followed \br /fálou/; /fáloud/; /fáloud/,,,,,,,,I follow the rules. \br The dog followed me home. \br She has followed me for years.,,,,,
621,Verbs - Present & Past Tenses,34,deep_dive,REMAIN /rimêin/ PERMANECER,Intermediate,,To stay in the same place or condition \br regular \br remain; remained; remained \br /rimêin/; /rimêind/; /rimêind/,,,,,,,,I remain calm. \br He remained silent. \br Nothing has remained the same.,,,,,
622,Verbs - Present & Past Tenses,34,deep_dive,OFFER /ófer/ OFERECER,Beginner,,To give or present something \br regular \br offer; offered; offered \br /ófer/; /óferd/; /óferd/,,,,,,,,I offer my seat. \br She offered to help. \br He has never offered advice.,,,,,
623,Verbs - Present & Past Tenses,34,deep_dive,REMEMBER /rimémber/ LEMBRAR,Beginner,,To not forget \br regular \br remember; remembered; remembered \br /rimémber/; /rimémberd/; /rimémberd/,,,,,,,,I remember your name. \br He remembered the date. \br She has always remembered my birthday.,,,,,
624,Verbs - Present & Past Tenses,34,deep_dive,PULL /púl/ PUXAR,Beginner,,To move something towards you \br regular \br pull; pulled; pulled \br /púl/; /púld/; /púld/,,,,,,,,I pull the rope. \br She pulled the door. \br The cart has been pulled away.,,,,,
625,Verbs - Present & Past Tenses,34,deep_dive,PUSH /púsh/ EMPURRAR,Beginner,,To move something away from you \br regular \br push; pushed; pushed \br /púsh/; /púsht/; /púsht/,,,,,,,,I push the button. \br He pushed the trolley. \br The door has been pushed open.,,,,,
626,Verbs - Present & Past Tenses,34,deep_dive,WAIT /uêit/ ESPERAR,Beginner,,To stay until something happens \br regular \br wait; waited; waited \br /uêit/; /uêitid/; /uêitid/,,,,,,,,I wait for the bus. \br We waited an hour. \br She has waited long enough.,,,,,
627,Verbs - Present & Past Tenses,34,deep_dive,EXPECT /ikspéct/ ESPERAR (aguardar),Beginner,,To believe something will happen \br regular \br expect; expected; expected \br /ikspéct/; /ikspéctid/; /ikspéctid/,,,,,,,,I expect good news. \br They expected rain. \br The results have been expected.,,,,,
628,Verbs - Present & Past Tenses,34,deep_dive,CARRY /kéri/ CARREGAR,Beginner,,To hold and move something \br regular \br carry; carried; carried \br /kéri/; /kérid/; /kérid/,,,,,,,,I carry a bag. \br He carried the box. \br The message has been carried.,,,,,
629,Verbs - Present & Past Tenses,34,deep_dive,TRY /trái/ TENTAR,Beginner,,To attempt \br regular \br try; tried; tried \br /trái/; /tráid/; /tráid/,,,,,,,,I try my best. \br She tried to call. \br He has tried sushi once.,,,,,
