id,set,type,title,level,question_text,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,usage1,tip
,English Grammar: Present Simple,multiple_choice,Present Simple Quiz,Beginner,She ______ to school every day.,,go,goes,going,went,1,"The third person singular (she/he/it) adds -es to verbs ending in -o, -ch, -sh, -ss, -x, or -z. 'Go' becomes 'goes'.","She goes to school by bus.","He goes to work at 8 AM.","Use 'goes' with he/she/it.","Third person singular rule"
,English Grammar: Present Simple,gap_fill,Complete the Sentence,Beginner,,They ______ (play) football on Saturdays.,play,plays,playing,played,play,"The base form 'play' is used with plural subjects (they, we, you). No -s or -es needed.","They play football every weekend.","We play tennis on Sundays.","Present simple for regular actions.","Use base form with I/you/we/they."
,English Grammar: Present Simple,multiple_choice,WH- Question Practice,Beginner,Choose the correct WH- word for: _____ is your favorite color?,,What,Which,Who,Where,0,"'What' is used when asking about an unlimited range of options (any color). 'Which' would be used if there was a limited choice (e.g., red or blue).","What is your favorite food?","What time is it?","Use 'what' for open-ended questions.","What = unlimited options; Which = limited options"
,English Vocabulary: Daily Routines,gap_fill,Daily Routine Verbs,Beginner,,I usually ______ (wake up) at 6:30 AM.,wake up,wakes up,woke up,waking up,wake up,"'Wake up' is the base form. Use the base form after 'usually' with I/you/we/they. For he/she/it, use 'wakes up'.","I wake up early every day.","They wake up at 7 AM.","Present simple for habits.","Use base form with I/you/we/they"
,English Vocabulary: Daily Routines,gap_fill,Modal Perfect Practice,Advanced,,I _____ (study) more for the test.,should have studied,would have studied,could have studied,might have studied,should have studied,"'Should have + past participle' expresses regret about a past action. It means you didn't study, but you think it was the right thing to do.","I should have called her yesterday.","You should have told me earlier.","Modal perfect for past regrets.","Should have + past participle = past regret"
,Present Tenses: Simple vs Continuous,multiple_choice,Simple Present Practice,Beginner,Choose the correct form: She _____ to school every day.,,go,goes,going,went,1,"The third person singular (she/he/it) requires 'goes' in present simple. 'Every day' indicates a habit or routine.","She goes to the gym every Monday.","He goes to work by train.","Use 'goes' with she/he/it.","'Every day' = present simple"
,Present Tenses: Simple vs Continuous,multiple_choice,Present Continuous Practice,Beginner,Choose the correct form: I _____ (read) a book right now.,,read,am reading,reads,reading,1,"'Right now' indicates an action happening at this moment. Use present continuous: am/is/are + verb-ing. 'I am reading' is correct.","I am watching TV right now.","She is cooking dinner at the moment.","Use present continuous for actions happening now.","'Right now' = present continuous"
,Spanish Verbs: Present Tense,multiple_choice,Modal Probability - 80% Certainty,Intermediate,Choose the correct modal for 80% certainty: It _____ rain tomorrow.,,will,must,should,could,2,"'Should' expresses expectation or probability (around 80%). 'Will' is 100%. 'Must' is strong deduction (95%). 'Could' is 50% or less.","The sky is dark. It should rain soon.","He studied hard. He should pass the exam.","'Should' = expected probability.","Use 'should' for 70-80% certainty"
,Spanish Verbs: Present Tense,multiple_choice,Modal Probability - 95% Certainty,Intermediate,Choose the correct modal for 95% certainty: It _____ rain tomorrow.,,will,must,should,could,1,"'Must' expresses strong logical deduction (about 95% certainty) when you have evidence. 'Will' is 100% (prediction). 'Should' is 80%. 'Could' is 50%.","He hasn't eaten all day. He must be hungry.","The ground is wet. It must have rained.","'Must' = logical conclusion (95%).","Use 'must' for strong deduction"
,Spanish Verbs: Present Tense,multiple_choice,Modal Probability - 100% Certainty,Intermediate,Choose the correct modal for 100% certainty: It _____ rain tomorrow.,,will,must,should,could,0,"'Will' expresses a prediction with 100% certainty about the future. It's not a deduction like 'must', but a firm prediction.","The sun will rise at 6:15 AM tomorrow.","I will be 30 years old next month.","'Will' = 100% prediction.","Use 'will' for future predictions"
,Spanish Verbs: Present Tense,multiple_choice,Modal Probability - 50% Certainty,Intermediate,Choose the correct modal for 50% certainty: It _____ rain tomorrow.,,will,must,should,could,3,"'Could' expresses possibility (around 50%). It means it's possible but not certain. The other modals express higher certainty.","It could snow tonight, but it's not guaranteed.","She could come to the party, or maybe not.","'Could' = 50% possibility.","Use 'could' for possibility (50%)"
,Spanish Verbs: Present Tense,multiple_choice,Modal Probability - 30% Certainty,Intermediate,Choose the correct modal for 30% certainty: It _____ rain tomorrow.,,will,must,should,might,0,"'Might' expresses weaker possibility (around 30-40%). (Note: 'could' was used above, but for 30% certainty, 'might' is most appropriate.)","I might go to the concert, but I'm not sure.","It might rain later, but probably not.","'Might' = weak possibility (30%).","Use 'might' for lower probability than 'could'"
,Spanish Verbs: Present Tense,multiple_choice,Modal Probability - 60% Certainty,Intermediate,Choose the correct modal for 60% certainty: It _____ rain tomorrow.,,will,must,should,may,2,"'Should' expresses expected probability (60-80%). 'May' is also possible (50-60%). 'Will' is 100%. 'Must' is 95%. For 60%, 'should' or 'may' work.","The forecast says it should rain by noon.","The train should arrive in 10 minutes.","'Should' = 60-80% probability.","Use 'should' for expected outcomes"
,Stative Verbs & Special "To Be",multiple_choice,Stative vs Dynamic,Intermediate,Choose the correct form: I _____ (think / am thinking) that you are right.,,think,am thinking,,,0,"'Think' meaning 'believe' or 'have an opinion' is a stative verb. Stative verbs are not usually used in continuous form. Use present simple.","I think chocolate is delicious.","She thinks he is nice.","Stative verbs = opinions, feelings, senses.","Use present simple with stative verbs"
