"id","set","type","title","level","question_text","opt1","opt2","opt3","opt4","correct_answer","explanation","image_url","audio_url"
,"Driving Theory Test","multiple_choice","When approaching a steady red light, what must you do?","Beginner","When approaching a steady red light, what must you do?","Slow down","Stop completely","Continue","",1,"A steady red light means you must come to a complete stop before the stop line or crosswalk. Stopping completely ensures safety and compliance with traffic laws.","",
,"Driving Theory Test","multiple_choice","A flashing yellow light means:","Beginner","A flashing yellow light means:","Stop","Proceed with caution","Turn only","",1,"A flashing yellow light warns you to slow down and proceed with caution because cross traffic may be present or conditions require extra attention.","",
,"Driving Theory Test","multiple_choice","What must you do before turning right on red?","Beginner","What must you do before turning right on red?","Speed up","Stop completely first","Honk","",1,"You must come to a full stop before the stop line or crosswalk, then yield to pedestrians and cross traffic. A rolling stop is illegal and dangerous.","",
,"Driving Theory Test","multiple_choice","What does a stop sign require?","Beginner","What does a stop sign require?","Slow only","Full stop","Yield","",1,"A stop sign requires a complete stop at the stop line or before the crosswalk. Simply slowing down is insufficient and violates traffic law.","",
,"Driving Theory Test","multiple_choice","When must you yield to pedestrians?","Beginner","When must you yield to pedestrians?","At crosswalks","Never","Only night","",0,"Pedestrians have the right-of-way in marked or unmarked crosswalks. You must yield to them to prevent accidents and follow pedestrian safety laws.","",
,"Driving Theory Test","multiple_choice","What does a double solid yellow line mean?","Beginner","What does a double solid yellow line mean?","Passing allowed","No passing","Turn anytime","",1,"Double solid yellow lines indicate that passing is prohibited in both directions due to limited visibility or high risk. You may not cross them except to turn into a driveway.","",
,"Driving Theory Test","multiple_choice","When should headlights be turned on?","Beginner","When should headlights be turned on?","Sunset to sunrise","Only rain","Anytime","",0,"Headlights must be used from sunset to sunrise, and also in bad weather (rain, fog, snow). This improves visibility and helps other drivers see you.","",
,"Driving Theory Test","multiple_choice","BAC limit for drivers over 21?","Beginner","BAC limit for drivers over 21?","0.08%","0.10%","0.5%","",0,"In all US states, the legal Blood Alcohol Concentration limit for drivers aged 21 and over is 0.08%. Above that is considered driving under the influence.","",
,"Driving Theory Test","multiple_choice","If emergency vehicle approaches?","Beginner","If emergency vehicle approaches?","Ignore","Pull over and stop","Race","",1,"You must yield to emergency vehicles (ambulance, fire, police) with lights/sirens by pulling over to the right and stopping until they pass.","",
,"Driving Theory Test","multiple_choice","At 4-way stop who goes first?","Beginner","At 4-way stop who goes first?","First to stop","Fastest","Largest","",0,"The first vehicle to arrive at a 4-way stop has the right-of-way. If two arrive simultaneously, the vehicle on the right goes first.","",
,"Driving Theory Test","multiple_choice","What does yield sign mean?","Beginner","What does yield sign mean?","Stop always","Give right of way","Speed","",1,"A yield sign means you must slow down and give right-of-way to cross traffic or pedestrians. You stop only if necessary, not always.","",
,"Driving Theory Test","multiple_choice","Broken white line means:","Beginner","Broken white line means:","Lane change allowed","No change","Stop","",0,"A broken white line separates lanes of traffic moving in the same direction. You may change lanes when safe, crossing the broken line.","",
,"Driving Theory Test","multiple_choice","School bus red lights flashing means:","Beginner","School bus red lights flashing means:","Pass carefully","Stop","Honk","",1,"When a school bus flashes red lights and extends the stop arm, all traffic in both directions (unless divided highway) must stop until lights turn off.","",
,"Driving Theory Test","multiple_choice","Speed limit in school zone?","Beginner","Speed limit in school zone?","Optional","Must obey","55 mph","",1,"School zone speed limits are mandatory and usually lower (15-25 mph) during school hours. Obeying protects children crossing the street.","",
,"Driving Theory Test","multiple_choice","When parking uphill with curb turn wheels:","Beginner","When parking uphill with curb turn wheels:","Away","Toward","Straight","",0,"When parking uphill with a curb, turn your front wheels away from the curb (to the left). If brakes fail, the car will roll into the curb, not traffic.","",
,"Driving Theory Test","multiple_choice","When parking downhill turn wheels:","Beginner","When parking downhill turn wheels:","Toward curb","Away","Straight","",0,"When parking downhill with a curb, turn your front wheels toward the curb (to the right). This ensures the car rolls into the curb if brakes fail.","",
