id,set,type,title,level,question_text,definition,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,example3,example4,usage1,tip
1,"English Grammar: Present Simple",usage_cases,"Present Simple: When to Use",Beginner,,"Habits & Routines: Actions that happen with some frequency.\br
Stative Verbs: Senses, sensations and feelings.\br 
General Truth: Things that are always true.",,,,,,,,"I wake up at 7 AM every day.\br
I think you need to rest.\br
Water boils at 100°C.",,,,,
2,"English Grammar: Present Simple",formula_table,"Present Simple: Formula",Beginner,,"subject + [verb base form/s] + object",,,,,,,,"I like coffe.\br
She eats fish.","I like coffe.\br
She eats fish.",,,,
3,"English Grammar: Present Simple",multiple_choice,"Present Simple Quiz",Beginner,"She ______ to school every day.",,,go,goes,going,went,1,,,,,,,
4,"English Grammar: Present Simple",gap_fill,"Complete the Sentence",Beginner,,,"They ______ (play) football on Saturdays.",,,,,play,,,,,,,
8,"English Grammar: Present Simple",usage_cases,"WH- Question: What",Beginner,,,,,,,,,,,,,,,"Use What to ask about asking for information about things"
9,"English Grammar: Present Simple",usage_cases,"WH- Question: Who",Beginner,,,,,,,,,,,,,,,"Use Who to ask about asking about people"
10,"English Grammar: Present Simple",usage_cases,"WH- Question: Where",Beginner,,,,,,,,,,,,,,,"Use Where to ask about asking about places"
11,"English Grammar: Present Simple",usage_cases,"WH- Question: When",Beginner,,,,,,,,,,,,,,,"Use When to ask about asking about time"
12,"English Grammar: Present Simple",usage_cases,"WH- Question: Why",Beginner,,,,,,,,,,,,,,,"Use Why to ask about asking for reasons"
13,"English Grammar: Present Simple",usage_cases,"WH- Question: Which",Beginner,,,,,,,,,,,,,,,"Use Which to ask about asking for choice from limited options"
14,"English Grammar: Present Simple",usage_cases,"WH- Question: Whose",Beginner,,,,,,,,,,,,,,,"Use Whose to ask about asking about possession"
15,"English Grammar: Present Simple",usage_cases,"WH- Question: How",Beginner,,,,,,,,,,,,,,,"Use How to ask about asking about manner, condition, quantity"
16,"English Grammar: Present Simple",usage_cases,"WH- Question: How many",Beginner,,,,,,,,,,,,,,,"Use How many to ask about asking about countable quantities"
17,"English Grammar: Present Simple",usage_cases,"WH- Question: How much",Beginner,,,,,,,,,,,,,,,"Use How much to ask about asking about uncountable quantities or price"
18,"English Grammar: Present Simple",usage_cases,"WH- Question: How often",Beginner,,,,,,,,,,,,,,,"Use How often to ask about asking about frequency"
19,"English Grammar: Present Simple",usage_cases,"WH- Question: How long",Beginner,,,,,,,,,,,,,,,"Use How long to ask about asking about duration"
20,"English Grammar: Present Simple",usage_cases,"WH- Question: How far",Beginner,,,,,,,,,,,,,,,"Use How far to ask about asking about distance"
21,"English Grammar: Present Simple",usage_cases,"WH- Question: How old",Beginner,,,,,,,,,,,,,,,"Use How old to ask about asking about age"
22,"English Grammar: Present Simple",usage_cases,"WH- Question: How come",Beginner,,,,,,,,,,,,,,,"Use How come to ask about informal why"
23,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 16",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
24,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 17",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
25,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 18",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
26,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 19",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
27,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 20",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
28,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 21",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
29,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 22",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
30,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 23",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
31,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 24",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
32,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 25",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
33,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 26",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
34,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 27",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
35,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 28",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
36,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 29",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
37,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 30",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
38,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 31",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
39,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 32",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
40,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 33",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
41,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 34",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
42,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 35",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
43,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 36",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
44,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 37",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
45,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 38",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
46,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 39",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
47,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 40",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
48,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 41",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
49,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 42",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
50,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 43",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
51,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 44",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
52,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 45",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
53,"English Grammar: Present Simple",multiple_choice,"WH- Question Practice 46",Beginner,"Choose the correct WH- word for: _____ is your favorite color?",,,What,Which,Who,Where,1,,,,,,,
