level,idiom,portuguese_equivalent,explanation,example_sentence
A2,All ears,Todo ouvidos,Listening attentively,"Tell me your idea – I'm all ears."
A2,As easy as ABC,Fácil como comer pastel,Very simple,"This recipe is as easy as ABC."
A2,Be broke,Estar duro / sem grana,To have no money,"I can't go out tonight, I'm broke."
A2,Be up to someone,Depende de alguém,To be someone's decision,"It's up to you whether we go or stay."
A2,Blow your nose,Assoar o nariz,To clear your nose by forcing air through it,"Please blow your nose instead of sniffing."
A2,Catch a cold,Pegar um resfriado,To become ill with a cold,"Put on a jacket or you'll catch a cold."
A2,Change your mind,Mudar de ideia,To decide something different,"I was going to study law, but I changed my mind."
A2,Do someone a favour,Fazer um favor a alguém,To help someone,"Could you do me a favour and turn off the lights?"
A2,Eat out,Comer fora (restaurante),To eat at a restaurant,"Let's eat out tonight – I don't feel like cooking."
A2,Fall in love,Apaixonar-se,To start loving someone,"They fell in love while travelling in Italy."
A2,Get along with,Dar-se bem com,To have a good relationship,"I get along well with my colleagues."
A2,Go on foot,Ir a pé,To walk instead of using transport,"The shop is near; let's go on foot."
A2,Have a good time,Divertir-se,To enjoy yourself,"We had a good time at the party."
A2,Keep in touch,Manter contacto,To continue communicating,"Promise you'll keep in touch after you move."
A2,Make a decision,Tomar uma decisão,To choose something,"You need to make a decision by Friday."
A2,Make a mistake,Cometer um erro,To do something wrong,"I made a mistake on the address."
A2,Make sure,Certificar-se,To verify or ensure,"Make sure you lock the door."
A2,On time,Na hora certa,Punctual,"The train arrived on time."
A2,Take a break,Fazer uma pausa,To rest briefly,"Let's take a break for ten minutes."
A2,Take care of,Cuidar de,To look after,"She takes care of her elderly mother."
A2,Take part in,Participar de,To join an activity,"I took part in the school play."
A2,Take turns,Revezar-se,To alternate doing something,"Take turns using the computer."
A2,Wake up,Acordar,To stop sleeping,"I usually wake up at 7 a.m."
A2,Work out,Exercitar-se,To exercise,"He works out at the gym three times a week."
A2,Worry about,Preocupar-se com,To feel anxious about something,"Don't worry about the exam – you'll do fine."
A2,Write down,Anotar,To record in writing,"Write down your phone number for me."
B1,A piece of cake,Muito fácil,Something very easy,"The test was a piece of cake."
B1,As far as I know,Até onde sei,Based on my knowledge,"As far as I know, she still works here."
B1,Be about to,Estar prestes a,To be ready to do something soon,"We were about to leave when the phone rang."
B1,Be into something,Estar a fim de / curtir,To be interested in something,"She's really into photography."
B1,Be over,Ter acabado,To be finished,"The storm is finally over."
B1,Be supposed to,Supostamente / dever,To be expected or required to,"You're supposed to arrive by 9 a.m."
B1,Beat around the bush,Enrolar / evitar o assunto,To avoid saying something directly,"Stop beating around the bush – just tell me."
B1,Better late than never,Antes tarde do que nunca,Doing something late is better than not at all,"He apologized after years – better late than never."
B1,Break a leg,"Boa sorte! (teatro)","Good luck! (to performers)","You're on in five minutes – break a leg!"
B1,Break up,Terminar (relacionamento),To end a relationship,"They broke up after two years together."
B1,Call it a day,Dar o dia por encerrado,To stop working for the day,"It's 6 p.m., let's call it a day."
B1,Come on,"Vamos lá / qual é","Expression of encouragement or disbelief","Come on, you can do it!"
B1,Cost an arm and a leg,Custar os olhos da cara,To be extremely expensive,"The repair cost an arm and a leg."
B1,Cut it out,Para com isso,Stop doing something annoying,"Cut it out, you're bothering me!"
B1,Do your best,Fazer o melhor possível,To try as hard as you can,"Just do your best on the exam."
B1,Feel like,Estar com vontade de,To want to do something,"I feel like having pizza tonight."
B1,Figure out,Descobrir / entender,To solve or understand,"I can't figure out this math problem."
B1,Get lost,"Perder-se / sumir (gír.)","To become lost (or rude: go away)","We got lost on the way to the museum."
B1,Get married,Casar-se,To wed,"They got married in a small church."
B1,Get rid of,Livrar-se de,To remove or discard,"I need to get rid of these old clothes."
B1,Give up,Desistir,To stop trying,"Don't give up – you're almost there."
B1,Go ahead,"Vá em frente / prossiga","To proceed or give permission","Can I open the window? – Go ahead."
B1,Hang out,"Sair / passar tempo com",To spend time casually with friends,"I hang out with my friends on Saturdays."
B1,Have a look,Dar uma olhada,To look at something briefly,"Have a look at this photo."
B1,Have no idea,Não fazer ideia,To not know at all,"I have no idea where my keys are."
B1,Hold on,"Aguente / espere","To wait or grip tightly","Hold on a second, I'll be right back."
B1,In a hurry,Com pressa,Rushed,"Sorry, I can't talk – I'm in a hurry."
B1,In the end,No fim das contas,Finally, after everything,"In the end, we decided to stay home."
B1,It doesn't matter,Não importa,It is not important,"You're late? It doesn't matter."
B1,Keep an eye on,Ficar de olho em,To watch carefully,"Could you keep an eye on my bag?"
B1,Look forward to,Estar ansioso para,To be excited about a future event,"I look forward to seeing you."
B1,Look up,Pesquisar,To search for information,"Look up the word in a dictionary."
B1,Make fun of,Tirar sarro de,To mock or ridicule,"Don't make fun of his accent."
B1,Make up your mind,Decidir-se,To make a decision,"Make up your mind – which one do you want?"
B1,No matter what,Não importa o que aconteça,Regardless of circumstances,"I'll support you no matter what."
B1,On purpose,De propósito,Intentionally,"He stepped on my foot on purpose."
B1,Out of order,Fora de serviço,Not working (machine),"The elevator is out of order."
B1,Put off,Adiar,To postpone,"We put off the meeting until Friday."
B1,Run out of,Ficar sem,To have no more of something,"We ran out of milk."
B1,Show up,Aparecer,To arrive or appear,"He showed up late again."
B1,So far,Até agora,Up to this moment,"So far, everything is going well."
B1,Take advantage of,Aproveitar-se de,To use an opportunity (often selfishly),"He took advantage of the sale to buy cheap shoes."
B1,Take it easy,Levar na boa / relaxar,To relax or not rush,"Take it easy – you're stressed."
B1,Take your time,Sem pressa,To not hurry,"You can take your time finishing the report."
B1,Turn down,Recusar,To reject,"She turned down the job offer."
B1,Under the weather,Sentindo-se mal (doente),Feeling slightly ill,"I'm feeling a bit under the weather today."
B1,Ups and downs,Altos e baixos,Good and bad periods,"Life has its ups and downs."
B1,Use up,Esgotar / gastar todo,To consume completely,"We used up all the toothpaste."
B1,What's up?,"E aí? / O que houve?",What's happening? (casual greeting),"Hey, what's up?"
B1,Work on,Trabalhar em / melhorar,To try to improve or fix,"I need to work on my pronunciation."
B1,Would rather,Preferir,To prefer,"I'd rather stay home than go out."
B1,You bet!,Com certeza!,Certainly! (emphatic yes),"Do you want dessert? – You bet!"
B1,You wish!,Quem dera! / Sonha!,Expresses that something is unlikely,"You think you'll win? You wish!"
B2,A blessing in disguise,Um mal que vem para o bem,Something bad that leads to good,"Losing that job was a blessing in disguise."
B2,A dime a dozen,Tem aos montes,Very common, not special,"Tourists are a dime a dozen here."
B2,Add insult to injury,Por sal na ferida,To make a bad situation worse,"He insulted me, then to add insult to injury, he laughed."
B2,At the drop of a hat,Num piscar de olhos,Immediately, without hesitation,"He'd help me at the drop of a hat."
B2,Back to square one,Voltar à estaca zero,To start over,"The plan failed, so it's back to square one."
B2,Be all talk,Só falar, não fazer,To talk but not act,"He says he'll help, but he's all talk."
B2,Be broke,Estar quebrado,To have no money,"I can't lend you any – I'm broke."
B2,Be in hot water,Estar enrascado,To be in trouble,"He's in hot water for missing the deadline."
B2,Be on the fence,Estar em cima do muro,To be undecided,"I'm on the fence about moving abroad."
B2,Be over the moon,Estar nas nuvens,To be very happy,"She was over the moon about her promotion."
B2,Be up in the air,Estar no ar,To be uncertain,"Our vacation plans are still up in the air."
B2,Bite the bullet,Encarar o sofrimento,To do something unpleasant but necessary,"I hate public speaking, but I'll bite the bullet."
B2,Break the ice,Quebrar o gelo,To start a conversation in a stiff situation,"A joke is good to break the ice."
B2,Burn the midnight oil,Queimar o óleo da meia-noite,To work late,"She burned the midnight oil for the exam."
B2,By the skin of your teeth,Por um triz,To barely succeed,"I passed by the skin of my teeth."
B2,Call it a night,Dar a noite por encerrada,To end the evening's activities,"We've played enough – let's call it a night."
B2,Catch someone's eye,Chamar a atenção de alguém,To attract someone's attention,"That painting caught my eye."
B2,Cut corners,"Cortar caminhos (fazer nas coxas)",To do something poorly to save time/money,"The builder cut corners and the roof leaks."
B2,Cut someone some slack,Dar um desconto,To be less critical,"He's new – cut him some slack."
B2,Drive someone up the wall,Deixar alguém louco,To annoy greatly,"His loud chewing drives me up the wall."
B2,Every cloud has a silver lining,Não há mal que sempre dure,There is something good in every bad situation,"Don't worry – every cloud has a silver lining."
B2,Face the music,Encarar as consequências,To accept punishment or consequences,"You cheated – now face the music."
B2,Get a kick out of,Divertir-se com,To enjoy greatly,"I get a kick out of watching old movies."
B2,Get out of hand,Sair do controle,To lose control,"The party got out of hand."
B2,Get something off your chest,Tirar um peso do peito,To confess or express feelings,"I need to get this off my chest: I was wrong."
B2,Get your act together,Se organizar,To become organized and effective,"You need to get your act together and study."
B2,Give the benefit of the doubt,Dar o benefício da dúvida,To trust someone without proof,"I don't know, but I'll give her the benefit of the doubt."
B2,Go back to the drawing board,Voltar à prancheta,To start over after failure,"The client rejected it – back to the drawing board."
B2,Go the extra mile,Dar o sangue / ir além,To do more than expected,"He goes the extra mile for his customers."
B2,Hang in there,Aguenta firme,To persevere,"The first month is hard – hang in there."
B2,Have a sweet tooth,Ser formigueiro,To like sweet foods,"She has a sweet tooth and loves chocolate."
B2,Have your hands full,Estar com as mãos ocupadas,To be very busy,"I have my hands full with three kids."
B2,Hit the books,Cair nos livros,To study hard,"I need to hit the books for finals."
B2,Hit the hay/sack,Cair na cama,To go to sleep,"I'm exhausted – time to hit the hay."
B2,Hit the nail on the head,Acertar em cheio,To be exactly right,"You hit the nail on the head about the problem."
B2,In the same boat,No mesmo barco,In the same difficult situation,"We're all in the same boat with the new software."
B2,It takes two to tango,É preciso dois para dançar tango,Both parties are responsible,"Don't blame only him – it takes two to tango."
B2,Let the cat out of the bag,"Soltar o verbo / contar o segredo",To reveal a secret,"I accidentally let the cat out of the bag about the party."
B2,Make a long story short,Resumindo a história,To tell only the main points,"To make a long story short, we missed the flight."
B2,Miss the boat,Perder a oportunidade,To miss an opportunity,"I waited too long and missed the boat."
B2,No pain no gain,Sem dor sem ganho,You must work hard to succeed,"I trained for months – no pain, no gain."
B2,On the ball,"Esperto / atento","Alert, competent","My assistant is really on the ball."
B2,Once in a blue moon,De vez em nunca,Very rarely,"He visits once in a blue moon."
