id,set,type,title,level,question_text,definition,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,example3,example4,usage1,tip,image_url,description,audio_url,prompt,transcript
,Constituição Federal,multiple_choice,Supremacia da Constituição,C1,"Segundo a teoria de Kelsen, a Constituição é a norma fundamental que valida todo o ordenamento. Qual princípio constitucional decorre diretamente dessa ideia?","","","Supremacia da Constituição","Hierarquia das leis","Pirâmide normativa","Eficácia plena",0,"A supremacia da Constituição significa que ela é a norma mais importante do sistema, hierarquicamente superior a todas as demais.","","","","","","","","","",""
,Constituição Federal,multiple_choice,Princípio da Separação dos Poderes,C1,"A CF/88 estabelece a separação dos Poderes como cláusula pétrea (art. 60, §4º). Assinale a função típica do Poder Judiciário:","","","Administrar","Legislar","Julgar","Executar políticas públicas",2,"A função típica do Judiciário é a jurisdicional: dizer o direito aplicando a lei ao caso concreto.","","","","","","","","","",""
,Constituição Federal,gap_fill,Controle de Constitucionalidade,C1,"A ação que pode ser proposta por qualquer cidadão para impugnar ato normativo do Poder Público contrário à Constituição é a arguição de descumprimento de preceito fundamental, também conhecida pela sigla ______.","","ADPF","","","","ADPF","","","","","","","","","","",""
,Constituição Federal,usage_cases,Mandado de Segurança,C1,"","Remédio constitucional para proteger direito líquido e certo, não amparado por habeas corpus ou habeas data, contra ato ilegal ou abusivo de autoridade.","","","","","","","Exemplo: Um servidor público tem direito à progressão na carreira, mas o chefe imediato indefere o pedido sem justificativa – cabe mandado de segurança.","É utilizado quando o direito pode ser comprovado de plano (documentalmente).","","","Prazo decadencial de 120 dias contados da ciência do ato impugnado.","","","","",""
,Constituição Federal,deep_dive,Cláusulas Pétreas,C1,"","Art. 60, §4º, CF: não será objeto de deliberação a proposta de emenda tendente a abolir: I - forma federativa de Estado; II - voto direto, secreto, universal e periódico; III - separação dos Poderes; IV - direitos e garantias individuais.","","","","","","","A doutrina distingue cláusulas pétreas expressas (as do art. 60, §4º) e implícitas (ex.: titularidade do poder constituinte derivado).","O STF já decidiu que o direito de petição é garantia individual, logo também é pétreo (ADI 939-7).","","","A reforma do Judiciário (EC 45/2004) incluiu o Conselho Nacional de Justiça sem violar a separação de poderes, segundo o STF.","","","","",""
,Constituição Federal,formula_table,Princípio da Proporcionalidade,C1,"","A proporcionalidade subdivide-se em: adequação (meio apto ao fim), necessidade (menor ônus possível) e proporcionalidade em sentido estrito (benefício supera sacrifício).","","","","","","","Exemplo de adequação: Multar quem estaciona em vaga de deficiente – é apto a desestimular a conduta.","Exemplo de necessidade: Suspender a CNH é medida mais gravosa do que aplicar multa para coibir excesso de velocidade – a multa basta.","Exemplo de proporcionalidade estrita: Demolir construção irregular de baixo impacto em área preservada pode ser desproporcional se houver alternativa de recuperação.","","","","","","","",""
,Direitos Fundamentais,multiple_choice,Habeas Corpus,C1,"De acordo com o art. 5º, LXVIII, da CF, o habeas corpus será concedido sempre que alguém sofrer ou se achar ameaçado de sofrer violência ou coação em sua liberdade de locomoção, por ilegalidade ou abuso de poder. Sobre esse remédio, assinale a alternativa correta:","","","Cabe contra ato de particular","Só pode ser impetrado por advogado","Não cabe contra punição disciplinar militar","Cabe para proteger direito líquido e certo",0,"O habeas corpus pode ser impetrado contra qualquer pessoa (inclusive particular) que exerça coação ilegal na liberdade de locomoção. O art. 5º, LXVIII, não restringe a autoridade pública.","","","","","","","","","",""
,Direitos Fundamentais,multiple_choice,Direito de Reunião,C1,"O art. 5º, XVI, da CF assegura o direito de reunião pacífica, sem armas, em locais abertos ao público, desde que não frustre outra reunião anteriormente convocada para o mesmo local. Qual requisito NÃO é exigido pela Constituição?","","","Prévio aviso à autoridade","Identificação dos organizadores","Finalidade política","Autorização judicial prévia",3,"Não se exige autorização judicial; o aviso prévio à autoridade competente é suficiente, e apenas para viabilizar a necessária proteção.","","","","","","","","","",""
,Direitos Fundamentais,gap_fill,Princípio da Isonomia,C1,"A Constituição veda quaisquer distinções baseadas em sexo, raça, origem, etc., mas permite tratamento diferenciado quando houver uma base racional e o critério de discriminação for compatível com os valores constitucionais. Isso é conhecido como ______.","","isonomia material (ou igualdade substancial)","","","","isonomia material (ou igualdade substancial)","Também chamada de igualdade real, visa tratar desigualmente os desiguais na medida da sua desigualdade.","","","","","","","","","",""
,Direitos Fundamentais,usage_cases,Direito de Propriedade e Função Social,C1,"","A CF garante o direito de propriedade (art. 5º, XXII), mas condiciona seu exercício ao atendimento da função social (art. 5º, XXIII). A propriedade urbana cumpre sua função social quando atende às exigências do plano diretor (art. 182, §2º).","","","","","","","Exemplo: Um imóvel abandonado no centro da cidade que não cumpre função social pode ser objeto de usucapião especial urbano (art. 183) ou desapropriação para fins de reforma urbana.","A propriedade rural deve atender simultaneamente aos requisitos de aproveitamento racional e adequado, utilização de mão de obra familiar, bem-estar dos proprietários e preservação ambiental (art. 186).","","","A desapropriação para reforma agrária é de competência da União (art. 184).","","","","","",""
