id;set;set_id;type;title;level;question_text;definition;sentence;opt1;opt2;opt3;opt4;correct_answer;explanation;example1;example2;example3;example4;usage1;tip;image_url;description;audio_url;prompt;transcript;front_fields
;Math Symbols - Groups;;deep_dive;Arithmetic Symbols Group;A2;;"Basic arithmetic symbols: plus (+), minus (-), asterisk (*), slash (/), percent (%). Used for math operations in both math and code.";;;;;;;;;"x = 5 + 3 (addition)";"y = 10 - 2 (subtraction)";"area = width * height (multiplication)";"avg = total / count (division)";;"Remember: In coding, * is always multiplication, not ·";uploads/images/math/arithmetic-symbols.jpg;;;;;;
;Math Symbols - Groups;;deep_dive;Relational (Comparison) Symbols Group;A2;;"Symbols that compare two values and return true/false: = (assignment), == (equal to), != (not equal to), < (less), > (greater), <=, >=.";;;;;;;;;"if (age >= 18) -> adult";"while (x != 0) -> loop";"score == 100 -> perfect";"if (a < b) -> smaller";;"In code, = is assignment, == is comparison. Don't mix them!";uploads/images/math/comparison-symbols.jpg;;;;;;
;Math Symbols - Groups;;deep_dive;Logical (Boolean) Symbols Group;A2;;"Logical operators: && (AND), || (OR), ! (NOT). Also bitwise: &, |, ^, ~. Used for conditions and bit manipulation.";;;;;;;;;"if (isLoggedIn && hasPermission) -> allow";"if (isWeekend || isHoliday) -> rest";"!isActive -> false if active";"flags = flags | MASK (bitwise OR)";;"&& and || short-circuit: they stop early if first condition decides outcome.";uploads/images/math/logical-symbols.jpg;;;;;;
;Math Symbols - Groups;;deep_dive;Assignment & Increment/Decrement Group;A2;;"Assignment operators: =, +=, -=, ++, --. They change variable values. ++ adds 1, -- subtracts 1.";;;;;;;;;"x = 10 (assign)";"x += 5 (same as x = x + 5)";"count++ (increment after use)";"--total (decrement before use)";;"++x increments first, then returns; x++ returns then increments.";uploads/images/math/assignment-symbols.jpg;;;;;;
;Math Symbols - Groups;;deep_dive;Grouping & Block Symbols Group;A2;;"Symbols that group code or expressions: parentheses (), square brackets [], curly braces {}, angle brackets <>.";;;;;;;;;"function call: myFunc()";"array index: arr[0]";"code block: if (x) { ... }";"generics: List<String>";;"Parentheses change math order: (a+b)*c is not a+b*c.";uploads/images/math/grouping-symbols.jpg;;;;;;
;Math Symbols - Groups;;deep_dive;Backslash Symbol Group;A2;;"Backslash \ is rare in math (set difference: A \ B) but very common in code: escape sequences (\n newline, \t tab), Windows paths (C:\Users), and line continuation.";;;;;;;;;"print(""Hello\nWorld"") -> two lines";"path = ""C:\Data\file.txt""";"A = {1,2,3} \ {2} -> {1,3}";"print(""She said \"Hi\"\"")";;"Never confuse \ (backslash) with / (forward slash). Say ""backslash"" clearly.";uploads/images/math/backslash.jpg;;;;;;
;Math Symbols - Groups;;deep_dive;Constants & Set Symbols Group;A2;;"Special math symbols used in code as constants or in comments: π (pi), e (Euler's number), ∞ (infinity), √ (square root), ∈ (belongs to), ∪ (union), ∩ (intersection).";;;;;;;;;;"area = π * r * r";"if (value ∈ allowedSet)";"newSet = setA ∪ setB";"sqrt(16) = 4";;"In code, use Math.PI, Math.E, Math.sqrt(), and array methods for sets.";uploads/images/math/constants-sets.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Plus sign (+);A1;;"Addition operator. In math: sum of two numbers. In code: numeric addition or string concatenation.";;;;;;;;;"Math: 5 + 3 = 8";"Code: total = price + tax;";"Code: message = ""Hello"" + "" World"";";"Concatenation: " + "" joins strings";;"In JavaScript, + with a string converts numbers to string.";uploads/images/math/plus.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Minus sign (-);A1;;"Subtraction or negation. In math: difference. In code: subtract or make negative.";;;;;;;;;"Math: 10 - 4 = 6";"Code: balance = balance - withdraw;";"Code: temperature = -5 (negative)";"x = -x (negation)";;"Use - for both subtraction and unary minus.";uploads/images/math/minus.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Asterisk (*);A1;;"Multiplication operator. Also used as pointer dereference (C/C++) or wildcard (file search). In math, x*y means x times y.";;;;;;;;;"Math: 7 * 6 = 42";"Code: area = width * height;";"Code: int *ptr (pointer declaration)";"Code: find *.txt (wildcard)";;"Never use 'x' for multiplication in code – always *.";uploads/images/math/asterisk.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Slash (/);A1;;"Division operator. In math: a/b = a divided by b. In code: also used as path separator (Linux/macOS). In some languages, integer division truncates.";;;;;;;;;"Math: 15 / 3 = 5";"Code: result = total / count;";"Code: path = ""/home/user/""";"Integer division: 7/2 = 3 (in many languages)";;"For exact division, use float numbers: 7.0/2 = 3.5";uploads/images/math/slash.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Percent (%);A1;;"Modulo operator: remainder after division. In math: 10 mod 3 = 1. Very common in programming for even/odd checks and cyclic values.";;;;;;;;;"Math: 10 % 3 = 1";"Code: if (n % 2 == 0) -> even";"Code: index = counter % arrayLength";"Code: minutes = totalSeconds % 60";;"Modulo with negative numbers varies by language. In most, sign follows dividend.";uploads/images/math/percent.jpg;;;;;;
;Math Symbols - Individual;;deep_dive;Equals sign (=) and Double equals (==);A2;;"= is assignment: sets a variable to a value. == is comparison: checks if two values are equal. Confusing them is a common bug.";;;;;;;;;"Code: x = 10 (assign)";"Code: if (x == 10) -> compare";"Math: = means equality in equations, but code uses == for that";"Common bug: if (x = 5) (always true, assigns 5)";;"In many languages, use === for strict equality (type + value).";uploads/images/math/equals.jpg;;;;;;
