id,set,set_id,type,title,level,question_text,definition,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,example3,example4,usage1,tip,image_url,description,audio_url,prompt,transcript,front_fields
,FL Driver Study,,multiple_choice,No‑Fault PIP minimum,Beginner,"Under Florida’s No‑Fault Law, what is the minimum required Personal Injury Protection (PIP) coverage?",,,$5.000,$10.000,$25.000,,1,Every owner must carry at least $10.000 in PIP and $10.000 in Property Damage Liability (PDL). PIP covers your own injuries regardless of fault.\br[PT] Todo proprietário deve ter pelo menos $10.000 em PIP e $10.000 em PDL. O PIP cobre seus próprios ferimentos independentemente de culpa.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,DUI record length,Beginner,How long must a DUI conviction remain on your Florida driving record?,,,10 years,25 years,75 years,,2,A DUI conviction stays on your record for 75 years. This affects insurance rates and future penalties.\br[PT] Uma condenação por DUI permanece em sua ficha por 75 anos. Isso afeta os seguros e penalidades futuras.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,DUI fine .15 or higher,Intermediate,What is the minimum fine for a first DUI conviction if your BAC is .15 or higher?,,,$500,$1.000,$2.000,,1,"For BAC .15+ or with a minor in the vehicle, the fine is not less than $1.000 and not more than $2.000.\br[PT] Para TAS .15+ ou com menor no veículo, a multa não é inferior a $1.000 nem superior a $2.000.",,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,First refusal suspension,Intermediate,"If you refuse to submit to a breath, blood, or urine test after a DUI arrest, your license is suspended for:",,,6 months,1 year,18 months,,1,First refusal = 1‑year suspension. Second refusal = 18‑month suspension and a first‑degree misdemeanor.\br[PT] Primeira recusa = suspensão de 1 ano. Segunda recusa = suspensão de 18 meses e contravenção de primeiro grau.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Second refusal penalty,Advanced,What is the penalty for a second refusal to take a DUI test?,,,1 year suspension,18 months suspension + first‑degree misdemeanor,License revocation,,1,A second refusal is more severe: 18 months suspension plus a criminal misdemeanor charge.\br[PT] A segunda recusa é mais severa: suspensão de 18 meses mais acusação criminal de contravenção.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,DUI school hours first offense,Intermediate,"After a DUI conviction, how many hours of DUI school are required for a first offense?",,,8 hours,12 hours,21 hours,,1,First offense requires 12 hours of DUI school. Second and third offenses require 21 hours.\br[PT] Primeira infração exige 12 horas de curso sobre DUI. Segunda e terceira exigem 21 horas.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Zero tolerance suspension,Beginner,"For a driver under 21, a BAC of .02 or higher results in:",,,Warning only,6‑month license suspension,Mandatory jail time,,1,Zero Tolerance law: any detectable alcohol (.02+) = 6‑month suspension. BAC .05+ also requires a substance abuse course.\br[PT] Lei Tolerância Zero: qualquer álcool detectável (.02+) = suspensão de 6 meses. TAS .05+ também exige curso sobre abuso de substâncias.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Texting points base,Beginner,How many points will you receive for a first conviction of texting while driving?,,,2 points,3 points,4 points,,1,"Texting while driving = 3 points. Add 3 more points if it occurs in a school zone, and 6 points if it causes a crash.\br[PT] Dirigir digitando = 3 pontos. Adicione mais 3 pontos se ocorrer em zona escolar, e 6 pontos se causar acidente.",,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Second offense 50+ over fine,Intermediate,What is the maximum fine for a second offense of exceeding the speed limit by more than 50 mph?,,,$1.000,"$2,500",$5.000,,1,"First offense fine up to $1.000; second offense up to $2,500. Fines are doubled in school/work zones.\br[PT] Primeira infração multa até $1.000; segunda até $2.500. Multas dobram em zonas escolares/de obra.",,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,18 points suspension,Intermediate,"If you accumulate 18 points within an 18‑month period, your license will be suspended for:",,,30 days,3 months,1 year,,1,12 points in 12 months = 30 days; 18 points in 18 months = 3 months; 24 points in 36 months = 1 year.\br[PT] 12 pontos em 12 meses = 30 dias; 18 pontos em 18 meses = 3 meses; 24 pontos em 36 meses = 1 ano.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Minor 6 points restriction,Intermediate,A driver under 18 who accumulates 6 or more points in 12 months is restricted to:,,,No driving,Business purposes only for 1 year,Daylight driving only,,1,"Mandatory restriction to ""Business Purposes ONLY"" for one year. Each additional point adds 90 days.\br[PT] Restrição obrigatória para ""APENAS Finalidades Comerciais"" por um ano. Cada ponto adicional adiciona 90 dias.",,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Tire tread depth,Beginner,What is the minimum tread depth required for tires in Florida?,,,1/32 inch,2/32 inch,4/32 inch,,1,Tires must have at least 2/32 inch tread depth. The handbook recommends 3/32 inch for safety.\br[PT] Pneus devem ter no mínimo 2/32 polegada de profundidade. O manual recomenda 3/32 polegada por segurança.,,,,,,,,,,,,title
,FL Driver Study,,multiple_choice,Horn distance,Beginner,How far must a driver’s horn be heard?,,,100 feet,200 feet,500 feet,,1,"Your horn must be heard from a distance of 200 feet. Use it only for warning, not anger.\br[PT] Sua buzina deve ser ouvida a 200 pés. Use‑a apenas para aviso, não por raiva.",,,,,,,,,,,,title
