id,set,set_id,type,title,level,question_text,definition,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,example3,example4,usage1,tip
714,"Daily Life Topics",35,deep_dive,"Boarding the plane",Beginner,,"The process of entering the plane before departure",,,,,,,,,,,,,
715,"Daily Life Topics",35,usage_cases,"Grocery shopping - Aisle",Beginner,,"A passage between shelves in a supermarket",,,,,,,,"You can find cereal in aisle 5.",,,,"""Aisle"" sounds like ""I'll"" (silent s).","""Aisle"" sounds like ""I'll"" (silent s)."
716,"Daily Life Topics",35,usage_cases,Produce,Beginner,,"Fresh fruits and vegetables",,,,,,,,"The produce here is very fresh.",,,,"""Organic produce"" costs more.","""Organic produce"" costs more."
717,"Daily Life Topics",35,usage_cases,Dairy,Beginner,,Milk,,,,,,,,"Ice cream is an example of dairy product.",,,,,
718,"Daily Life Topics",35,usage_cases,"Expiration date",Intermediate,,"The last day a product is safe to eat",,,,,,,,"Also called ""best by"" or ""use by"" date. \br \br Don't buy if it's past the date.",,,,"You can still eat some things after the date if they look/smell fine.","You can still eat some things after the date if they look/smell fine."
719,"Daily Life Topics",35,gap_fill,"Grocery Shopping - Fill blank",Intermediate,,,"Complete the sentence:\br ""The price of this item isn't on the shelf. I need to _______ it at the scanner.""",,,,,"scan,check",,"Let me scan this to see how much it costs.",,,,,
720,"Daily Life Topics",35,usage_cases,"Shopping list",Beginner,,"A written list of things you need to buy",,,,,,,,"Make a list before you go to save time and avoid impulse buys. \br \br Organize by aisle for efficiency.",,,,"Digital lists on phone work too.","Digital lists on phone work too."
721,"Daily Life Topics",35,usage_cases,"Shopping cart / Trolley",Beginner,,"A wheeled basket for carrying groceries",,,,,,,,"Grab a cart at the entrance.",,,,"Smaller basket for fewer items.","Smaller basket for fewer items."
722,"Daily Life Topics",35,formula_table,"Comparing Prices (Superlatives)",Beginner,,"Structure for saying which product costs the most/least \br regular \br the + most/least + adjective",,,,,,,,,,,,,
723,"Daily Life Topics",35,usage_cases,"Appetizer / Starter",Beginner,,"Small dish eaten before the main meal",,,,,,,,"US = appetizer. UK = starter. \br \br Examples: soup, salad, bread, spring rolls.",,,,"Opposite = dessert (sweet dish after meal)","Opposite = dessert (sweet dish after meal)"
724,"Daily Life Topics",35,usage_cases,"Main course / Entrée",Beginner,,"The largest or most important dish of a meal",,,,,,,,"For my main course",,,,"Portion size is usually big.","Portion size is usually big."
725,"Daily Life Topics",35,usage_cases,"Check / Bill",Beginner,,"The paper showing what you owe after a meal",,,,,,,,"US = check. UK = bill. \br \br Often you need to ask for it (they don't bring it automatically in some countries).",,,,"Tip is extra (15-20% in US).","Tip is extra (15-20% in US)."
726,"Daily Life Topics",35,gap_fill,"Restaurant - Fill blank",Intermediate,,,"Complete what the waiter asks: \br ""How would you like your steak _______?""",,,,,"cooked,done",,"I'd like it medium rare, please.",,,,,
727,"Daily Life Topics",35,usage_cases,"To-go / Takeout",Beginner,,"Food you take away to eat somewhere else",,,,,,,,"US = to-go / takeout. UK = takeaway. \br \br Opposite = for here (eat at restaurant).",,,,please.,please.
728,"Daily Life Topics",35,formula_table,"Polite Restaurant Requests",Beginner,,"Structure for asking nicely \br regular \br Could I have + [item] + please?",,,,,,,,,,,,,
729,"Daily Life Topics",35,deep_dive,"Table setting",Intermediate,,"The arrangement of plates",,,,,,,,,,,,,
730,"Daily Life Topics",35,usage_cases,"Hotel - Check-in",Beginner,,"Arriving and registering at a hotel",,,,,,,,"You show your ID and credit card at check-in. \br \br You get your room key and room number.",,,,"Late check-in: call the hotel to say you'll arrive after 10 PM.","Late check-in: call the hotel to say you'll arrive after 10 PM."
731,"Daily Life Topics",35,usage_cases,Reservation,Intermediate,,"A booking for a room or table",,,,,,,,"I need to cancel my reservation.",,,,"No-reservation hotels are called ""walk-ins"".","No-reservation hotels are called ""walk-ins""."
732,"Daily Life Topics",35,gap_fill,"Hotel - Fill blank",Beginner,,,"Complete the request:\br ""Could I have a _______ key for room 412, please? I left mine with my wife.""",,,,,"spare,extra",,"My wife has the other key. Could I get a spare?",,,,,
733,"Daily Life Topics",35,usage_cases,"Wake-up call",Intermediate,,"A phone call from the front desk to wake you up",,,,,,,,"I requested a wake-up call but nobody called.",,,,"Set your phone alarm as a backup.","Set your phone alarm as a backup."
734,"Daily Life Topics",35,formula_table,"Hotel Requests (polite questions)",Beginner,,"Asking hotel staff for things r regular r Could I + [verb] + please?",,,,,,,,,,,,,
735,"Daily Life Topics",35,usage_cases,"Doctor - Symptoms",Beginner,,"Physical feelings that indicate illness",,,,,,,,"I've had a fever for three days.",,,,"Call your doctor if symptoms get worse.","Call your doctor if symptoms get worse."
736,"Daily Life Topics",35,gap_fill,"Doctor - Fill blank",Beginner,,,"Complete:\br ""I need to make an _______ to see the doctor.""",,,,,appointment,,"I'd like to make an appointment for tomorrow morning, please.",,,,,
737,"Daily Life Topics",35,usage_cases,Prescription,Intermediate,,"A doctor's written order for medicine",,,,,,,,"You take the prescription to a pharmacy. \br \br ""Over-the-counter"" (OTC) means no prescription needed.",,,,"Refill = get more of the same medicine.","Refill = get more of the same medicine."
738,"Daily Life Topics",35,deep_dive,"Phrases for pain description",Intermediate,,"Telling a doctor where and how much it hurts",,,,,,,,,,,,,
739,"Daily Life Topics",35,usage_cases,"Bus stop / Bus station",Beginner,,"Where you wait for a bus",,,,,,,,"Which bus stop is for the number 42 bus?",,,,"Check the bus schedule (timetable) for times.","Check the bus schedule (timetable) for times."
740,"Daily Life Topics",35,gap_fill,"Public Transport - Fill blank",Beginner,,,"Complete:\br ""Does this bus _______ the airport?""",,,,,"go to,stop at",,"Does this train go to Grand Central Station?",,,,,
741,"Daily Life Topics",35,usage_cases,Transfer,Intermediate,,"Changing from one bus/train to another",,,,,,,,"You'll have to transfer at the next station.",,,,"Ask: ""Where do I transfer?""","Ask: ""Where do I transfer?"""
742,"Daily Life Topics",35,formula_table,"Asing About Schedule (future simple)",Beginner,,"Using ""will"" and ""does"" for timetable questions \br regular \br What time + does + the [vehicle] + leave/arrive?",,,,,,,,,,,,,
743,"Daily Life Topics",35,usage_cases,"Office - Deadline",Intermediate,,"The date or time by which work must be finished",,,,,,,,"The deadline is Friday at 5 PM.",,,,"""Deadline"" is a single word, not ""dead line"".","""Deadline"" is a single word, not ""dead line""."
744,"Daily Life Topics",35,gap_fill,"Office - Fill blank",Beginner,,,"Complete: ""Could you please _______ me that document when you're done?""",,,,,send|email|forward,,"Could you forward me the meeting notes from yesterday?",,,,,
745,"Daily Life Topics",35,usage_cases,"On break",Beginner,,"Taking time away from work to rest",,,,,,,,"Breaks are usually paid. Lunch break is usually unpaid. \br \br ""Coffee break"" = short 15-min break.",,,,"Don't say ""I'm in break"" – it's always ""on break"".","Don't say ""I'm in break"" – it's always ""on break""."
746,"Daily Life Topics",35,usage_cases,Overtime,Intermediate,,"Time worked beyond normal hours",,,,,,,,"I worked 10 hours of overtime last week.",,,,"Verb: to work overtime.","Verb: to work overtime."
747,"Daily Life Topics",35,usage_cases,"Submit a report",Intermediate,,"To send or hand in a completed report to your manager",,,,,,,,"Please submit the sales report by Friday.",,,,"Use ""submit to"" + person: Submit to your supervisor. \br Use ""submit by"" + deadline: Submit by 5 PM.","Use ""submit to"" + person: Submit to your supervisor. \br Use ""submit by"" + deadline: Submit by 5 PM."
748,"Daily Life Topics",35,usage_cases,Deadline,Intermediate,,"The date or time by which a task must be finished",,,,,,,,"The deadline for this project is next Monday.",,,,"""Meet a deadline"" = finish on time. \br ""Miss a deadline"" = finish late.","""Meet a deadline"" = finish on time. \br ""Miss a deadline"" = finish late."
749,"Daily Life Topics",35,usage_cases,"Cover letter",Intermediate,,"A letter sent with your resume to explain why you want a job",,,,,,,,"I attached my cover letter and resume to the email.",,,,"Customize each cover letter for the specific job.","Customize each cover letter for the specific job."
750,"Daily Life Topics",35,usage_cases,"Follow up",Intermediate,,"To contact someone again after a previous meeting or message",,,,,,,,"I'll follow up with the client next week.",,,,"Send a follow-up email 3-5 days after an interview.","Send a follow-up email 3-5 days after an interview."
751,"Daily Life Topics",35,usage_cases,Onboard,Intermediate,,"To integrate a new employee into a company",,,,,,,,"HR will onboard the new hires on Monday.",,,,"""New hire"" = a person who just started.","""New hire"" = a person who just started."
752,"Daily Life Topics",35,usage_cases,"Remote work",Intermediate,,"Working from home or outside the office",,,,,,,,"I've been doing remote work for two years.",,,,"Synonym: telecommuting","Synonym: telecommuting"
753,"Daily Life Topics",35,usage_cases,"Meeting agenda",Intermediate,,"A list of topics to discuss in a meeting",,,,,,,,"Can you send the meeting agenda before we start?",,,,"Stick to the agenda to keep meetings short.","Stick to the agenda to keep meetings short."
754,"Daily Life Topics",35,usage_cases,"Action item",Intermediate,,"A task assigned to someone during a meeting",,,,,,,,"Your action item is to contact the IT department.",,,,"Write down action items so you don't forget.","Write down action items so you don't forget."
755,"Daily Life Topics",35,usage_cases,Stakeholder,Intermediate,,"A person or group with interest in a project's outcome",,,,,,,,"We need approval from all stakeholders before launching.",,,,"Keep stakeholders updated regularly.","Keep stakeholders updated regularly."
756,"Daily Life Topics",35,gap_fill,"Office - Email Sign-off",Beginner,,,"Complete:\br Please let me know if you have any ______ abut the project.",,,,,"questions,concerns",,"Best regards, Thomas \br Please let me know if you need anything else.",,,,,
757,"Daily Life Topics",35,gap_fill,"Office - CC in Email",Beginner,,,"Complete:\br Please ______ me on that email",,,,,cc,,"Please CC my manager so she knows the status.",,,,,
758,"Daily Life Topics",35,gap_fill,"Office - Voicemail",Beginner,,,"please leave a ______ after the beep",,,,,message,,"You've reached John. I'm away from my desk. Please leave your name and number.",,,,,
759,"Daily Life Topics",35,formula_table,"Polite Office Requests",Beginner,,"Structure for asking colleagues politely \br regular \br Would you mind + verb-ing + ?",,,,,,,,,,,,,
760,"Daily Life Topics",35,formula_table,"Setting Deadlines",Beginner,,"Structure for giving due dates \br regular \br Please have + [task] + done by + [date/time]",,,,,,,,,,,,,
761,"Daily Life Topics",35,deep_dive,"How to write a professional email",Intermediate,,"Subject line, greeting, body, closing, signature",,,,,,,,,,,,,
762,"Daily Life Topics",35,usage_cases,Shift,Intermediate,,"A scheduled period of work",,,,,,,,"My shift starts at 6 AM",,,,"Day shift = morning/afternoon. Night shift = overnight. Split shift = two separate periods.","Day shift = morning/afternoon. Night shift = overnight. Split shift = two separate periods."
763,"Daily Life Topics",35,usage_cases,Overtime,Intermediate,,"Time worked beyond regular hours",,,,,,,,"We had to work overtime to meet the deadline.",,,,"""Time and a half"" = 1.5x pay. ""Double time"" = 2x pay.","""Time and a half"" = 1.5x pay. ""Double time"" = 2x pay."
764,"Daily Life Topics",35,usage_cases,"Break room",Intermediate,,"A room where employees can rest",,,,,,,,,,,,"The break room has a fridge, coffee machine, and vending machines.","The break room has a fridge, coffee machine, and vending machines."
765,"Daily Life Topics",35,usage_cases,"Time clock",Intermediate,,"A machine that records when employees start and stop work",,,,,,,,"Don't forget to punch in when you arrive.",,,,"""Punch in"" = start work. ""Punch out"" = end work.","""Punch in"" = start work. ""Punch out"" = end work."
766,"Daily Life Topics",35,usage_cases,Uniform,Intermediate,,"A special set of clothes worn for work",,,,,,,,"All factory workers must wear a uniform and safety vest.",,,,"Some jobs provide uniforms for free. Others make you buy them.","Some jobs provide uniforms for free. Others make you buy them."
767,"Daily Life Topics",35,gap_fill,"Factory - Safety Gear",Beginner,,,"you must wear ______ protection in this area",,,,,hearing|ear,,"Hearing protection is mandatory beyond this yellow line.",,,,,
768,"Daily Life Topics",35,gap_fill,"Factory - Inventory",Beginner,,,"we need to ______ the parts before the next shift",,,,,count,,"Can you count the bolts? We need 500 for tomorrow's order.",,,,,
769,"Daily Life Topics",35,formula_table,"Factory Instructions (Imperatives)",Beginner,,"Giving clear commands \br regular \br Verb + object + location/time",,,,,,,,,,,,,
770,"Daily Life Topics",35,usage_cases,Forklift,Intermediate,,"A vehicle used to lift and move heavy pallets in a factory/warehouse",,,,,,,,"Only certified workers can operate the forklift.",,,,"Forklift certification requires training and a test.","Forklift certification requires training and a test."
